instruction,original,opcode,mnemonic,operand_count,has_vector_reg,has_memory,has_immediate,has_masking,register_width,memory_width,prefix_type
ANDN SHRX,ANDN SHRX,,ANDN,1,0,0,0,0,0,0,NONE
ARPL r16,ARPL r/m16,,ARPL,1,0,0,0,0,64,0,NONE
ARPL m16,ARPL r/m16,,ARPL,1,0,1,0,0,16,16,NONE
ARPL r16,ARPL r16,,ARPL,1,0,0,0,0,64,0,NONE
AVX,AVX,,AVX,0,0,0,0,0,0,0,NONE
AVX (no Legacy SSE),AVX (no Legacy SSE),,AVX,3,0,0,0,0,0,0,NONE
AVX Legacy SSE,AVX Legacy SSE,,AVX,2,0,0,0,0,0,0,NONE
AVX2 Gathers,AVX2 Gathers,,AVX2,1,0,0,0,0,0,0,NONE
AX or EAX with reg,AX or EAX with reg,,AX,4,0,0,0,0,32,0,NONE
AX or EAX with register,AX or EAX with register,,AX,4,0,0,0,0,32,0,NONE
BOUND m16,BOUND m16&16,,BOUND,1,0,1,0,0,16,16,NONE
BOUND m32,BOUND m32&32,,BOUND,1,0,1,0,0,0,32,NONE
BOUND r16,BOUND r16,,BOUND,1,0,0,0,0,64,0,NONE
BOUND r32,BOUND r32,,BOUND,1,0,0,0,0,64,0,NONE
BSF r16,BSF r/m16,,BSF,1,0,0,0,0,64,0,NONE
BSF m16,BSF r/m16,,BSF,1,0,1,0,0,16,16,NONE
BSF r32,BSF r/m32,,BSF,1,0,0,0,0,64,0,NONE
BSF m32,BSF r/m32,,BSF,1,0,1,0,0,0,32,NONE
BSF r64,BSF r/m64,,BSF,1,0,0,0,0,64,0,NONE
BSF m64,BSF r/m64,,BSF,1,0,1,0,0,0,64,NONE
BSF r16,BSF r16,,BSF,1,0,0,0,0,64,0,NONE
BSF r32,BSF r32,,BSF,1,0,0,0,0,64,0,NONE
BSF r64,BSF r64,,BSF,1,0,0,0,0,64,0,NONE
BSR r16,BSR r/m16,,BSR,1,0,0,0,0,64,0,NONE
BSR m16,BSR r/m16,,BSR,1,0,1,0,0,16,16,NONE
BSR r32,BSR r/m32,,BSR,1,0,0,0,0,64,0,NONE
BSR m32,BSR r/m32,,BSR,1,0,1,0,0,0,32,NONE
BSR r64,BSR r/m64,,BSR,1,0,0,0,0,64,0,NONE
BSR m64,BSR r/m64,,BSR,1,0,1,0,0,0,64,NONE
BSR r16,BSR r16,,BSR,1,0,0,0,0,64,0,NONE
BSR r32,BSR r32,,BSR,1,0,0,0,0,64,0,NONE
BSR r64,BSR r64,,BSR,1,0,0,0,0,64,0,NONE
BSWAP r32,BSWAP r32,,BSWAP,1,0,0,0,0,64,0,NONE
BSWAP r64,BSWAP r64,,BSWAP,1,0,0,0,0,64,0,NONE
BT imm8,BT imm8,,BT,1,0,1,1,0,8,8,NONE
BT r16,BT r/m16,,BT,1,0,0,0,0,64,0,NONE
BT m16,BT r/m16,,BT,1,0,1,0,0,16,16,NONE
BT r32,BT r/m32,,BT,1,0,0,0,0,64,0,NONE
BT m32,BT r/m32,,BT,1,0,1,0,0,0,32,NONE
BT r64,BT r/m64,,BT,1,0,0,0,0,64,0,NONE
BT m64,BT r/m64,,BT,1,0,1,0,0,0,64,NONE
BT r16,BT r16,,BT,1,0,0,0,0,64,0,NONE
BT r32,BT r32,,BT,1,0,0,0,0,64,0,NONE
BT r64,BT r64,,BT,1,0,0,0,0,64,0,NONE
BTC imm8,BTC imm8,,BTC,1,0,1,1,0,8,8,NONE
BTC r16,BTC r/m16,,BTC,1,0,0,0,0,64,0,NONE
BTC m16,BTC r/m16,,BTC,1,0,1,0,0,16,16,NONE
BTC r32,BTC r/m32,,BTC,1,0,0,0,0,64,0,NONE
BTC m32,BTC r/m32,,BTC,1,0,1,0,0,0,32,NONE
BTC r64,BTC r/m64,,BTC,1,0,0,0,0,64,0,NONE
BTC m64,BTC r/m64,,BTC,1,0,1,0,0,0,64,NONE
BTC r16,BTC r16,,BTC,1,0,0,0,0,64,0,NONE
BTC r32,BTC r32,,BTC,1,0,0,0,0,64,0,NONE
BTC r64,BTC r64,,BTC,1,0,0,0,0,64,0,NONE
BTR imm8,BTR imm8,,BTR,1,0,1,1,0,8,8,NONE
BTR r16,BTR r/m16,,BTR,1,0,0,0,0,64,0,NONE
BTR m16,BTR r/m16,,BTR,1,0,1,0,0,16,16,NONE
BTR r32,BTR r/m32,,BTR,1,0,0,0,0,64,0,NONE
BTR m32,BTR r/m32,,BTR,1,0,1,0,0,0,32,NONE
BTR r64,BTR r/m64,,BTR,1,0,0,0,0,64,0,NONE
BTR m64,BTR r/m64,,BTR,1,0,1,0,0,0,64,NONE
BTR r16,BTR r16,,BTR,1,0,0,0,0,64,0,NONE
BTR r32,BTR r32,,BTR,1,0,0,0,0,64,0,NONE
BTR r64,BTR r64,,BTR,1,0,0,0,0,64,0,NONE
BTS imm8,BTS imm8,,BTS,1,0,1,1,0,8,8,NONE
BTS r16,BTS r/m16,,BTS,1,0,0,0,0,64,0,NONE
BTS m16,BTS r/m16,,BTS,1,0,1,0,0,16,16,NONE
BTS r32,BTS r/m32,,BTS,1,0,0,0,0,64,0,NONE
BTS m32,BTS r/m32,,BTS,1,0,1,0,0,0,32,NONE
