instruction,original,opcode,mnemonic,operand_count,has_vector_reg,has_memory,has_immediate,has_masking,register_width,memory_width,prefix_type
EVEX.128.66.0F3A.W1 71 /r /ibVPSHLDQ xmm1{k1}{z},EVEX.128.66.0F3A.W1 71 /r /ibVPSHLDQ xmm1{k1}{z},,EVEX.128.66.0F3A.W1,4,1,1,0,1,0,0,NONE
EVEX.128.66.0F3A.W1 72 /r /ibVPSHRDW xmm1{k1}{z},EVEX.128.66.0F3A.W1 72 /r /ibVPSHRDW xmm1{k1}{z},,EVEX.128.66.0F3A.W1,4,1,1,0,1,0,0,NONE
EVEX.128.66.0F3A.W1 73 /r /ibVPSHRDQ xmm1{k1}{z},EVEX.128.66.0F3A.W1 73 /r /ibVPSHRDQ xmm1{k1}{z},,EVEX.128.66.0F3A.W1,4,1,1,0,1,0,0,NONE
EVEX.128.66.0F3A.W1 CE /r /ibVGF2P8AFFINEQB xmm1{k1}{z},EVEX.128.66.0F3A.W1 CE /r /ibVGF2P8AFFINEQB xmm1{k1}{z},,EVEX.128.66.0F3A.W1,4,1,1,0,1,0,0,NONE
EVEX.128.66.0F3A.W1 CF /r /ibVGF2P8AFFINEINVQB xmm1{k1}{z},EVEX.128.66.0F3A.W1 CF /r /ibVGF2P8AFFINEINVQB xmm1{k1}{z},,EVEX.128.66.0F3A.W1,4,1,1,0,1,0,0,NONE
EVEX.128.66.0F3A.W1 imm8,EVEX.128.66.0F3A.W1 imm8,,EVEX.128.66.0F3A.W1,1,0,1,1,0,8,8,NONE
EVEX.128.66.0F3A.W1 r64,EVEX.128.66.0F3A.W1 r64/m64,,EVEX.128.66.0F3A.W1,1,0,0,0,0,64,0,NONE
EVEX.128.66.0F3A.W1 m64,EVEX.128.66.0F3A.W1 r64/m64,,EVEX.128.66.0F3A.W1,1,0,1,0,0,0,64,NONE
EVEX.128.66.0F3A.W1 xmm2,EVEX.128.66.0F3A.W1 xmm2,,EVEX.128.66.0F3A.W1,1,1,1,0,0,0,0,NONE
EVEX.128.66.0F3A.W1 xmm2/m64bcst,EVEX.128.66.0F3A.W1 xmm2/m128/m64bcst,,EVEX.128.66.0F3A.W1,1,1,1,0,0,0,64,NONE
EVEX.128.66.0F3A.W1 m128/m64bcst,EVEX.128.66.0F3A.W1 xmm2/m128/m64bcst,,EVEX.128.66.0F3A.W1,1,0,1,0,0,0,128,NONE
EVEX.128.66.0F3A.W1 xmm3,EVEX.128.66.0F3A.W1 xmm3/m128,,EVEX.128.66.0F3A.W1,1,1,1,0,0,0,0,NONE
EVEX.128.66.0F3A.W1 m128,EVEX.128.66.0F3A.W1 xmm3/m128,,EVEX.128.66.0F3A.W1,1,0,1,0,0,0,128,NONE
EVEX.128.66.0F3A.W1 xmm3/m64bcst,EVEX.128.66.0F3A.W1 xmm3/m128/m64bcst,,EVEX.128.66.0F3A.W1,1,1,1,0,0,0,64,NONE
EVEX.128.66.0F3A.W1 m128/m64bcst,EVEX.128.66.0F3A.W1 xmm3/m128/m64bcst,,EVEX.128.66.0F3A.W1,1,0,1,0,0,0,128,NONE
EVEX.128.66.0F3A.WIG 0F /r ibVPALIGNR xmm1 {k1}{z},EVEX.128.66.0F3A.WIG 0F /r ibVPALIGNR xmm1 {k1}{z},,EVEX.128.66.0F3A.WIG,5,1,1,0,1,8,0,NONE
EVEX.128.66.0F3A.WIG 14 /r ibVPEXTRB reg,EVEX.128.66.0F3A.WIG 14 /r ibVPEXTRB reg/m8,,EVEX.128.66.0F3A.WIG,4,0,0,0,0,0,0,NONE
EVEX.128.66.0F3A.WIG 14 /r ibVPEXTRB m8,EVEX.128.66.0F3A.WIG 14 /r ibVPEXTRB reg/m8,,EVEX.128.66.0F3A.WIG,4,0,1,0,0,8,8,NONE
EVEX.128.66.0F3A.WIG 15 /r ibVPEXTRW reg,EVEX.128.66.0F3A.WIG 15 /r ibVPEXTRW reg/m16,,EVEX.128.66.0F3A.WIG,4,0,0,0,0,0,0,NONE
EVEX.128.66.0F3A.WIG 15 /r ibVPEXTRW m16,EVEX.128.66.0F3A.WIG 15 /r ibVPEXTRW reg/m16,,EVEX.128.66.0F3A.WIG,4,0,1,0,0,16,16,NONE
EVEX.128.66.0F3A.WIG 17 /r ibVEXTRACTPS reg,EVEX.128.66.0F3A.WIG 17 /r ibVEXTRACTPS reg/m32,,EVEX.128.66.0F3A.WIG,4,0,0,0,0,0,0,NONE
EVEX.128.66.0F3A.WIG 17 /r ibVEXTRACTPS m32,EVEX.128.66.0F3A.WIG 17 /r ibVEXTRACTPS reg/m32,,EVEX.128.66.0F3A.WIG,4,0,1,0,0,0,32,NONE
EVEX.128.66.0F3A.WIG 20 /r ibVPINSRB xmm1,EVEX.128.66.0F3A.WIG 20 /r ibVPINSRB xmm1,,EVEX.128.66.0F3A.WIG,4,1,1,0,0,0,0,NONE
EVEX.128.66.0F3A.WIG 44 /r /ibVPCLMULQDQ xmm1,EVEX.128.66.0F3A.WIG 44 /r /ibVPCLMULQDQ xmm1,,EVEX.128.66.0F3A.WIG,4,1,1,0,0,8,0,NONE
EVEX.128.66.0F3A.WIG imm8,EVEX.128.66.0F3A.WIG imm8,,EVEX.128.66.0F3A.WIG,1,0,1,1,0,8,8,NONE
EVEX.128.66.0F3A.WIG r32,EVEX.128.66.0F3A.WIG r32/m8,,EVEX.128.66.0F3A.WIG,1,0,0,0,0,64,0,NONE
EVEX.128.66.0F3A.WIG m8,EVEX.128.66.0F3A.WIG r32/m8,,EVEX.128.66.0F3A.WIG,1,0,1,0,0,8,8,NONE
EVEX.128.66.0F3A.WIG xmm1,EVEX.128.66.0F3A.WIG xmm1,,EVEX.128.66.0F3A.WIG,1,1,1,0,0,0,0,NONE
EVEX.128.66.0F3A.WIG xmm2,EVEX.128.66.0F3A.WIG xmm2,,EVEX.128.66.0F3A.WIG,1,1,1,0,0,0,0,NONE
EVEX.128.66.0F3A.WIG xmm3,EVEX.128.66.0F3A.WIG xmm3/m128,,EVEX.128.66.0F3A.WIG,1,1,1,0,0,0,0,NONE
EVEX.128.66.0F3A.WIG m128,EVEX.128.66.0F3A.WIG xmm3/m128,,EVEX.128.66.0F3A.WIG,1,0,1,0,0,0,128,NONE
VCVTPS2PHX xmm1{k1}{z},EVEX.128.66.MAP5.W0 1D /rVCVTPS2PHX xmm1{k1}{z},EVEX.128.66.MAP5.W0 1D /r,VCVTPS2PHX,1,1,1,0,1,0,0,EVEX
VCVTPH2DQ xmm1{k1}{z},EVEX.128.66.MAP5.W0 5B /rVCVTPH2DQ xmm1{k1}{z},EVEX.128.66.MAP5.W0 5B /r,VCVTPH2DQ,1,1,1,0,1,0,0,EVEX
VCVTTPH2UQQ xmm1{k1}{z},EVEX.128.66.MAP5.W0 78 /rVCVTTPH2UQQ xmm1{k1}{z},EVEX.128.66.MAP5.W0 78 /r,VCVTTPH2UQQ,1,1,1,0,1,0,0,EVEX
VCVTPH2UQQ xmm1{k1}{z},EVEX.128.66.MAP5.W0 79 /rVCVTPH2UQQ xmm1{k1}{z},EVEX.128.66.MAP5.W0 79 /r,VCVTPH2UQQ,1,1,1,0,1,0,0,EVEX
VCVTTPH2QQ xmm1{k1}{z},EVEX.128.66.MAP5.W0 7A /rVCVTTPH2QQ xmm1{k1}{z},EVEX.128.66.MAP5.W0 7A /r,VCVTTPH2QQ,1,1,1,0,1,0,0,EVEX
VCVTPH2QQ xmm1{k1}{z},EVEX.128.66.MAP5.W0 7B /rVCVTPH2QQ xmm1{k1}{z},EVEX.128.66.MAP5.W0 7B /r,VCVTPH2QQ,1,1,1,0,1,0,0,EVEX
VCVTTPH2W xmm1{k1}{z},EVEX.128.66.MAP5.W0 7C /rVCVTTPH2W xmm1{k1}{z},EVEX.128.66.MAP5.W0 7C /r,VCVTTPH2W,1,1,1,0,1,0,0,EVEX
VCVTPH2W xmm1{k1}{z},EVEX.128.66.MAP5.W0 7D /rVCVTPH2W xmm1{k1}{z},EVEX.128.66.MAP5.W0 7D /r,VCVTPH2W,1,1,1,0,1,0,0,EVEX
EVEX.128.66.MAP5.W0 xmm2/m16bcst,EVEX.128.66.MAP5.W0 xmm2/m128/m16bcst,,EVEX.128.66.MAP5.W0,1,1,1,0,0,16,16,NONE
EVEX.128.66.MAP5.W0 m128/m16bcst,EVEX.128.66.MAP5.W0 xmm2/m128/m16bcst,,EVEX.128.66.MAP5.W0,1,0,1,0,0,16,128,NONE
EVEX.128.66.MAP5.W0 xmm2/m32bcst,EVEX.128.66.MAP5.W0 xmm2/m128/m32bcst,,EVEX.128.66.MAP5.W0,1,1,1,0,0,0,32,NONE
EVEX.128.66.MAP5.W0 m128/m32bcst,EVEX.128.66.MAP5.W0 xmm2/m128/m32bcst,,EVEX.128.66.MAP5.W0,1,0,1,0,0,0,128,NONE
EVEX.128.66.MAP5.W0 xmm2/m16bcst,EVEX.128.66.MAP5.W0 xmm2/m32/m16bcst,,EVEX.128.66.MAP5.W0,1,1,1,0,0,16,16,NONE
EVEX.128.66.MAP5.W0 m32/m16bcst,EVEX.128.66.MAP5.W0 xmm2/m32/m16bcst,,EVEX.128.66.MAP5.W0,1,0,1,0,0,16,32,NONE
EVEX.128.66.MAP5.W0 xmm2/m16bcst,EVEX.128.66.MAP5.W0 xmm2/m64/m16bcst,,EVEX.128.66.MAP5.W0,1,1,1,0,0,16,16,NONE
EVEX.128.66.MAP5.W0 m64/m16bcst,EVEX.128.66.MAP5.W0 xmm2/m64/m16bcst,,EVEX.128.66.MAP5.W0,1,0,1,0,0,16,64,NONE
VCVTPD2PH xmm1{k1}{z},EVEX.128.66.MAP5.W1 5A /rVCVTPD2PH xmm1{k1}{z},EVEX.128.66.MAP5.W1 5A /r,VCVTPD2PH,1,1,1,0,1,0,0,EVEX
EVEX.128.66.MAP5.W1 xmm2/m64bcst,EVEX.128.66.MAP5.W1 xmm2/m128/m64bcst,,EVEX.128.66.MAP5.W1,1,1,1,0,0,0,64,NONE
EVEX.128.66.MAP5.W1 m128/m64bcst,EVEX.128.66.MAP5.W1 xmm2/m128/m64bcst,,EVEX.128.66.MAP5.W1,1,0,1,0,0,0,128,NONE
VMOVW xmm1,EVEX.128.66.MAP5.WIG 6E /rVMOVW xmm1,EVEX.128.66.MAP5.WIG 6E /r,VMOVW,1,1,1,0,0,0,0,EVEX
VMOVW reg,EVEX.128.66.MAP5.WIG 7E /rVMOVW reg/m16,EVEX.128.66.MAP5.WIG 7E /r,VMOVW,1,0,0,0,0,0,0,EVEX
VMOVW m16,EVEX.128.66.MAP5.WIG 7E /rVMOVW reg/m16,EVEX.128.66.MAP5.WIG 7E /r,VMOVW,1,0,1,0,0,16,16,EVEX
EVEX.128.66.MAP5.WIG reg,EVEX.128.66.MAP5.WIG reg/m16,,EVEX.128.66.MAP5.WIG,1,0,0,0,0,0,0,NONE
EVEX.128.66.MAP5.WIG m16,EVEX.128.66.MAP5.WIG reg/m16,,EVEX.128.66.MAP5.WIG,1,0,1,0,0,16,16,NONE
EVEX.128.66.MAP5.WIG xmm1,EVEX.128.66.MAP5.WIG xmm1,,EVEX.128.66.MAP5.WIG,1,1,1,0,0,0,0,NONE
VCVTPH2PSX xmm1{k1}{z},EVEX.128.66.MAP6.W0 13 /rVCVTPH2PSX xmm1{k1}{z},EVEX.128.66.MAP6.W0 13 /r,VCVTPH2PSX,1,1,1,0,1,0,0,EVEX
VSCALEFPH xmm1{k1}{z},EVEX.128.66.MAP6.W0 2C /rVSCALEFPH xmm1{k1}{z},EVEX.128.66.MAP6.W0 2C /r,VSCALEFPH,1,1,1,0,1,8,0,EVEX
VGETEXPPH xmm1{k1}{z},EVEX.128.66.MAP6.W0 42 /rVGETEXPPH xmm1{k1}{z},EVEX.128.66.MAP6.W0 42 /r,VGETEXPPH,1,1,1,0,1,0,0,EVEX
VRCPPH xmm1{k1}{z},EVEX.128.66.MAP6.W0 4C /rVRCPPH xmm1{k1}{z},EVEX.128.66.MAP6.W0 4C /r,VRCPPH,1,1,1,0,1,0,0,EVEX
VRSQRTPH xmm1{k1}{z},EVEX.128.66.MAP6.W0 4E /rVRSQRTPH xmm1{k1}{z},EVEX.128.66.MAP6.W0 4E /r,VRSQRTPH,1,1,1,0,1,0,0,EVEX
VFMADDSUB132PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 96 /rVFMADDSUB132PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 96 /r,VFMADDSUB132PH,1,1,1,0,1,0,0,EVEX
VFMSUBADD132PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 97 /rVFMSUBADD132PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 97 /r,VFMSUBADD132PH,1,1,1,0,1,0,0,EVEX
VFMADD132PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 98 /rVFMADD132PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 98 /r,VFMADD132PH,1,1,1,0,1,0,0,EVEX
VFMSUB132PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 9A /rVFMSUB132PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 9A /r,VFMSUB132PH,1,1,1,0,1,0,0,EVEX
VFNMADD132PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 9C /rVFNMADD132PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 9C /r,VFNMADD132PH,1,1,1,0,1,0,0,EVEX
VFNMSUB132PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 9E /rVFNMSUB132PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 9E /r,VFNMSUB132PH,1,1,1,0,1,0,0,EVEX
VFMADDSUB213PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 A6 /rVFMADDSUB213PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 A6 /r,VFMADDSUB213PH,1,1,1,0,1,0,0,EVEX
VFMSUBADD213PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 A7 /rVFMSUBADD213PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 A7 /r,VFMSUBADD213PH,1,1,1,0,1,0,0,EVEX
VFMADD213PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 A8 /rVFMADD213PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 A8 /r,VFMADD213PH,1,1,1,0,1,0,0,EVEX
VFMSUB213PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 AA /rVFMSUB213PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 AA /r,VFMSUB213PH,1,1,1,0,1,0,0,EVEX
VFNMADD213PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 AC /rVFNMADD213PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 AC /r,VFNMADD213PH,1,1,1,0,1,0,0,EVEX
VFNMSUB213PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 AE /rVFNMSUB213PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 AE /r,VFNMSUB213PH,1,1,1,0,1,0,0,EVEX
VFMADDSUB231PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 B6 /rVFMADDSUB231PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 B6 /r,VFMADDSUB231PH,1,1,1,0,1,0,0,EVEX
VFMSUBADD231PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 B7 /rVFMSUBADD231PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 B7 /r,VFMSUBADD231PH,1,1,1,0,1,0,0,EVEX
VFMADD231PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 B8 /rVFMADD231PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 B8 /r,VFMADD231PH,1,1,1,0,1,0,0,EVEX
VFMSUB231PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 BA /rVFMSUB231PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 BA /r,VFMSUB231PH,1,1,1,0,1,0,0,EVEX
VFNMADD231PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 BC /rVFNMADD231PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 BC /r,VFNMADD231PH,1,1,1,0,1,0,0,EVEX
VFNMSUB231PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 BE /rVFNMSUB231PH xmm1{k1}{z},EVEX.128.66.MAP6.W0 BE /r,VFNMSUB231PH,1,1,1,0,1,0,0,EVEX
EVEX.128.66.MAP6.W0 xmm2,EVEX.128.66.MAP6.W0 xmm2,,EVEX.128.66.MAP6.W0,1,1,1,0,0,0,0,NONE
EVEX.128.66.MAP6.W0 xmm2/m16bcst,EVEX.128.66.MAP6.W0 xmm2/m128/m16bcst,,EVEX.128.66.MAP6.W0,1,1,1,0,0,16,16,NONE
EVEX.128.66.MAP6.W0 m128/m16bcst,EVEX.128.66.MAP6.W0 xmm2/m128/m16bcst,,EVEX.128.66.MAP6.W0,1,0,1,0,0,16,128,NONE
EVEX.128.66.MAP6.W0 xmm2/m16bcst,EVEX.128.66.MAP6.W0 xmm2/m64/m16bcst,,EVEX.128.66.MAP6.W0,1,1,1,0,0,16,16,NONE
EVEX.128.66.MAP6.W0 m64/m16bcst,EVEX.128.66.MAP6.W0 xmm2/m64/m16bcst,,EVEX.128.66.MAP6.W0,1,0,1,0,0,16,64,NONE
EVEX.128.66.MAP6.W0 xmm3/m16bcst,EVEX.128.66.MAP6.W0 xmm3/m128/m16bcst,,EVEX.128.66.MAP6.W0,1,1,1,0,0,16,16,NONE
EVEX.128.66.MAP6.W0 m128/m16bcst,EVEX.128.66.MAP6.W0 xmm3/m128/m16bcst,,EVEX.128.66.MAP6.W0,1,0,1,0,0,16,128,NONE
VMOVDQU8 xmm1 {k1}{z},EVEX.128.F2.0F.W0 6F /rVMOVDQU8 xmm1 {k1}{z},EVEX.128.F2.0F.W0 6F /r,VMOVDQU8,2,1,1,0,1,0,0,EVEX
VCVTUDQ2PS xmm1 {k1}{z},EVEX.128.F2.0F.W0 7A /rVCVTUDQ2PS xmm1 {k1}{z},EVEX.128.F2.0F.W0 7A /r,VCVTUDQ2PS,2,1,1,0,1,0,0,EVEX
VMOVDQU8 xmm2 {k1}{z},EVEX.128.F2.0F.W0 7F /rVMOVDQU8 xmm2/m128 {k1}{z},EVEX.128.F2.0F.W0 7F /r,VMOVDQU8,2,1,1,0,1,0,0,EVEX
VMOVDQU8 m128 {k1}{z},EVEX.128.F2.0F.W0 7F /rVMOVDQU8 xmm2/m128 {k1}{z},EVEX.128.F2.0F.W0 7F /r,VMOVDQU8,2,0,1,0,1,0,128,EVEX
EVEX.128.F2.0F.W0 xmm1,EVEX.128.F2.0F.W0 xmm1,,EVEX.128.F2.0F.W0,1,1,1,0,0,0,0,NONE
EVEX.128.F2.0F.W0 xmm2,EVEX.128.F2.0F.W0 xmm2/m128,,EVEX.128.F2.0F.W0,1,1,1,0,0,0,0,NONE
EVEX.128.F2.0F.W0 m128,EVEX.128.F2.0F.W0 xmm2/m128,,EVEX.128.F2.0F.W0,1,0,1,0,0,0,128,NONE
EVEX.128.F2.0F.W0 xmm2/m32bcst,EVEX.128.F2.0F.W0 xmm2/m128/m32bcst,,EVEX.128.F2.0F.W0,1,1,1,0,0,0,32,NONE
EVEX.128.F2.0F.W0 m128/m32bcst,EVEX.128.F2.0F.W0 xmm2/m128/m32bcst,,EVEX.128.F2.0F.W0,1,0,1,0,0,0,128,NONE
VMOVDDUP xmm1 {k1}{z},EVEX.128.F2.0F.W1 12 /rVMOVDDUP xmm1 {k1}{z},EVEX.128.F2.0F.W1 12 /r,VMOVDDUP,2,1,1,0,1,0,0,EVEX
VMOVDQU16 xmm1 {k1}{z},EVEX.128.F2.0F.W1 6F /rVMOVDQU16 xmm1 {k1}{z},EVEX.128.F2.0F.W1 6F /r,VMOVDQU16,2,1,1,0,1,0,0,EVEX
VCVTUQQ2PS xmm1 {k1}{z},EVEX.128.F2.0F.W1 7A /rVCVTUQQ2PS xmm1 {k1}{z},EVEX.128.F2.0F.W1 7A /r,VCVTUQQ2PS,2,1,1,0,1,0,0,EVEX
VMOVDQU16 xmm2 {k1}{z},EVEX.128.F2.0F.W1 7F /rVMOVDQU16 xmm2/m128 {k1}{z},EVEX.128.F2.0F.W1 7F /r,VMOVDQU16,2,1,1,0,1,0,0,EVEX
VMOVDQU16 m128 {k1}{z},EVEX.128.F2.0F.W1 7F /rVMOVDQU16 xmm2/m128 {k1}{z},EVEX.128.F2.0F.W1 7F /r,VMOVDQU16,2,0,1,0,1,0,128,EVEX
VCVTPD2DQ xmm1 {k1}{z},EVEX.128.F2.0F.W1 E6 /rVCVTPD2DQ xmm1 {k1}{z},EVEX.128.F2.0F.W1 E6 /r,VCVTPD2DQ,2,1,1,0,1,0,0,EVEX
EVEX.128.F2.0F.W1 xmm1,EVEX.128.F2.0F.W1 xmm1,,EVEX.128.F2.0F.W1,1,1,1,0,0,0,0,NONE
EVEX.128.F2.0F.W1 xmm2,EVEX.128.F2.0F.W1 xmm2/m128,,EVEX.128.F2.0F.W1,1,1,1,0,0,0,0,NONE
EVEX.128.F2.0F.W1 m128,EVEX.128.F2.0F.W1 xmm2/m128,,EVEX.128.F2.0F.W1,1,0,1,0,0,0,128,NONE
EVEX.128.F2.0F.W1 xmm2/m64bcst,EVEX.128.F2.0F.W1 xmm2/m128/m64bcst,,EVEX.128.F2.0F.W1,1,1,1,0,0,0,64,NONE
EVEX.128.F2.0F.W1 m128/m64bcst,EVEX.128.F2.0F.W1 xmm2/m128/m64bcst,,EVEX.128.F2.0F.W1,1,0,1,0,0,0,128,NONE
EVEX.128.F2.0F.W1 xmm2,EVEX.128.F2.0F.W1 xmm2/m64,,EVEX.128.F2.0F.W1,1,1,1,0,0,0,0,NONE
EVEX.128.F2.0F.W1 m64,EVEX.128.F2.0F.W1 xmm2/m64,,EVEX.128.F2.0F.W1,1,0,1,0,0,0,64,NONE
EVEX.128.F2.0F.WIG 70 /r ibVPSHUFLW xmm1 {k1}{z},EVEX.128.F2.0F.WIG 70 /r ibVPSHUFLW xmm1 {k1}{z},,EVEX.128.F2.0F.WIG,5,1,1,0,1,0,0,NONE
EVEX.128.F2.0F.WIG imm8,EVEX.128.F2.0F.WIG imm8,,EVEX.128.F2.0F.WIG,1,0,1,1,0,8,8,NONE
EVEX.128.F2.0F.WIG xmm2,EVEX.128.F2.0F.WIG xmm2/m128,,EVEX.128.F2.0F.WIG,1,1,1,0,0,0,0,NONE
EVEX.128.F2.0F.WIG m128,EVEX.128.F2.0F.WIG xmm2/m128,,EVEX.128.F2.0F.WIG,1,0,1,0,0,0,128,NONE
VCVTNE2PS2BF16 xmm1{k1}{z},EVEX.128.F2.0F38.W0 72 /rVCVTNE2PS2BF16 xmm1{k1}{z},EVEX.128.F2.0F38.W0 72 /r,VCVTNE2PS2BF16,1,1,1,0,1,0,0,EVEX
EVEX.128.F2.0F38.W0 xmm2,EVEX.128.F2.0F38.W0 xmm2,,EVEX.128.F2.0F38.W0,1,1,1,0,0,0,0,NONE
EVEX.128.F2.0F38.W0 xmm3/m32bcst,EVEX.128.F2.0F38.W0 xmm3/m128/m32bcst,,EVEX.128.F2.0F38.W0,1,1,1,0,0,0,32,NONE
EVEX.128.F2.0F38.W0 m128/m32bcst,EVEX.128.F2.0F38.W0 xmm3/m128/m32bcst,,EVEX.128.F2.0F38.W0,1,0,1,0,0,0,128,NONE
VCVTUDQ2PH xmm1{k1}{z},EVEX.128.F2.MAP5.W0 7A /rVCVTUDQ2PH xmm1{k1}{z},EVEX.128.F2.MAP5.W0 7A /r,VCVTUDQ2PH,1,1,1,0,1,0,0,EVEX
VCVTUW2PH xmm1{k1}{z},EVEX.128.F2.MAP5.W0 7D /rVCVTUW2PH xmm1{k1}{z},EVEX.128.F2.MAP5.W0 7D /r,VCVTUW2PH,1,1,1,0,1,0,0,EVEX
EVEX.128.F2.MAP5.W0 xmm2/m16bcst,EVEX.128.F2.MAP5.W0 xmm2/m128/m16bcst,,EVEX.128.F2.MAP5.W0,1,1,1,0,0,16,16,NONE
EVEX.128.F2.MAP5.W0 m128/m16bcst,EVEX.128.F2.MAP5.W0 xmm2/m128/m16bcst,,EVEX.128.F2.MAP5.W0,1,0,1,0,0,16,128,NONE
EVEX.128.F2.MAP5.W0 xmm2/m32bcst,EVEX.128.F2.MAP5.W0 xmm2/m128/m32bcst,,EVEX.128.F2.MAP5.W0,1,1,1,0,0,0,32,NONE
EVEX.128.F2.MAP5.W0 m128/m32bcst,EVEX.128.F2.MAP5.W0 xmm2/m128/m32bcst,,EVEX.128.F2.MAP5.W0,1,0,1,0,0,0,128,NONE
VCVTUQQ2PH xmm1{k1}{z},EVEX.128.F2.MAP5.W1 7A /rVCVTUQQ2PH xmm1{k1}{z},EVEX.128.F2.MAP5.W1 7A /r,VCVTUQQ2PH,1,1,1,0,1,0,0,EVEX
EVEX.128.F2.MAP5.W1 xmm2/m64bcst,EVEX.128.F2.MAP5.W1 xmm2/m128/m64bcst,,EVEX.128.F2.MAP5.W1,1,1,1,0,0,0,64,NONE
EVEX.128.F2.MAP5.W1 m128/m64bcst,EVEX.128.F2.MAP5.W1 xmm2/m128/m64bcst,,EVEX.128.F2.MAP5.W1,1,0,1,0,0,0,128,NONE
VFCMADDCPH xmm1{k1}{z},EVEX.128.F2.MAP6.W0 56 /rVFCMADDCPH xmm1{k1}{z},EVEX.128.F2.MAP6.W0 56 /r,VFCMADDCPH,1,1,1,0,1,0,0,EVEX
VFCMULCPH xmm1{k1}{z},EVEX.128.F2.MAP6.W0 D6 /rVFCMULCPH xmm1{k1}{z},EVEX.128.F2.MAP6.W0 D6 /r,VFCMULCPH,1,1,1,0,1,0,0,EVEX
EVEX.128.F2.MAP6.W0 xmm2,EVEX.128.F2.MAP6.W0 xmm2,,EVEX.128.F2.MAP6.W0,1,1,1,0,0,0,0,NONE
EVEX.128.F2.MAP6.W0 xmm3/m32bcst,EVEX.128.F2.MAP6.W0 xmm3/m128/m32bcst,,EVEX.128.F2.MAP6.W0,1,1,1,0,0,0,32,NONE
EVEX.128.F2.MAP6.W0 m128/m32bcst,EVEX.128.F2.MAP6.W0 xmm3/m128/m32bcst,,EVEX.128.F2.MAP6.W0,1,0,1,0,0,0,128,NONE
VMOVSLDUP xmm1 {k1}{z},EVEX.128.F3.0F.W0 12 /rVMOVSLDUP xmm1 {k1}{z},EVEX.128.F3.0F.W0 12 /r,VMOVSLDUP,2,1,1,0,1,0,0,EVEX
VMOVSHDUP xmm1 {k1}{z},EVEX.128.F3.0F.W0 16 /rVMOVSHDUP xmm1 {k1}{z},EVEX.128.F3.0F.W0 16 /r,VMOVSHDUP,2,1,1,0,1,0,0,EVEX
VCVTTPS2DQ xmm1 {k1}{z},EVEX.128.F3.0F.W0 5B /rVCVTTPS2DQ xmm1 {k1}{z},EVEX.128.F3.0F.W0 5B /r,VCVTTPS2DQ,2,1,1,0,1,0,0,EVEX
VMOVDQU32 xmm1 {k1}{z},EVEX.128.F3.0F.W0 6F /rVMOVDQU32 xmm1 {k1}{z},EVEX.128.F3.0F.W0 6F /r,VMOVDQU32,2,1,1,0,1,0,0,EVEX
VCVTUDQ2PD xmm1 {k1}{z},EVEX.128.F3.0F.W0 7A /rVCVTUDQ2PD xmm1 {k1}{z},EVEX.128.F3.0F.W0 7A /r,VCVTUDQ2PD,2,1,1,0,1,0,0,EVEX
VMOVDQU32 xmm2 {k1}{z},EVEX.128.F3.0F.W0 7F /rVMOVDQU32 xmm2/m128 {k1}{z},EVEX.128.F3.0F.W0 7F /r,VMOVDQU32,2,1,1,0,1,0,0,EVEX
VMOVDQU32 m128 {k1}{z},EVEX.128.F3.0F.W0 7F /rVMOVDQU32 xmm2/m128 {k1}{z},EVEX.128.F3.0F.W0 7F /r,VMOVDQU32,2,0,1,0,1,0,128,EVEX
