Instruction,Mnemonic,Operands,Mappable,UnknownTypes
"SHLD r32, r32, CL",SHLD,"r32, r32, CL",True,
"SHLD m32, r32, CL",SHLD,"m32, r32, CL",True,
"SHLD r64, r64, CL",SHLD,"r64, r64, CL",True,
"SHLD m64, r64, CL",SHLD,"m64, r64, CL",True,
"SHRD r16, r16, imm8",SHRD,"r16, r16, imm8",True,
"SHRD m16, r16, imm8",SHRD,"m16, r16, imm8",True,
"SHRD r16, r16, CL",SHRD,"r16, r16, CL",True,
"SHRD m16, r16, CL",SHRD,"m16, r16, CL",True,
"SHRD r32, r32, imm8",SHRD,"r32, r32, imm8",True,
"SHRD m32, r32, imm8",SHRD,"m32, r32, imm8",True,
"SHRD r64, r64, imm8",SHRD,"r64, r64, imm8",True,
"SHRD m64, r64, imm8",SHRD,"m64, r64, imm8",True,
"SHRD r32, r32, CL",SHRD,"r32, r32, CL",True,
"SHRD m32, r32, CL",SHRD,"m32, r32, CL",True,
"SHRD r64, r64, CL",SHRD,"r64, r64, CL",True,
"SHRD m64, r64, CL",SHRD,"m64, r64, CL",True,
SIDT m,SIDT,m,True,
SLDT r16,SLDT,r16,True,
SLDT m16,SLDT,m16,True,
SMSW r16,SMSW,r16,True,
SMSW m16,SMSW,m16,True,
SMSW r32/m16,SMSW,r32/m16,True,
SMSW r64/m16,SMSW,r64/m16,True,
STC,STC,,True,
STD,STD,,True,
STI,STI,,True,
STOS m8,STOS,m8,True,
STOS m16,STOS,m16,True,
STOS m32,STOS,m32,True,
STOS m64,STOS,m64,True,
STOSB,STOSB,,True,
STOSW,STOSW,,True,
STOSD,STOSD,,True,
STOSQ,STOSQ,,True,
STR r16,STR,r16,True,
STR m16,STR,m16,True,
"SUB AL, imm8",SUB,"AL, imm8",True,
"SUB AX, imm16",SUB,"AX, imm16",True,
"SUB EAX, imm32",SUB,"EAX, imm32",True,
"SUB RAX, imm32",SUB,"RAX, imm32",True,
"SUB r8, imm8",SUB,"r8, imm8",True,
"SUB m8, imm8",SUB,"m8, imm8",True,
"SUB r16, imm16",SUB,"r16, imm16",True,
"SUB m16, imm16",SUB,"m16, imm16",True,
"SUB r32, imm32",SUB,"r32, imm32",True,
"SUB m32, imm32",SUB,"m32, imm32",True,
"SUB r64, imm32",SUB,"r64, imm32",True,
"SUB m64, imm32",SUB,"m64, imm32",True,
"SUB r16, imm8",SUB,"r16, imm8",True,
"SUB m16, imm8",SUB,"m16, imm8",True,
"SUB r32, imm8",SUB,"r32, imm8",True,
"SUB m32, imm8",SUB,"m32, imm8",True,
"SUB r64, imm8",SUB,"r64, imm8",True,
"SUB m64, imm8",SUB,"m64, imm8",True,
"SUB r8, r8",SUB,"r8, r8",True,
"SUB m8, r8",SUB,"m8, r8",True,
"SUB r16, r16",SUB,"r16, r16",True,
"SUB m16, r16",SUB,"m16, r16",True,
"SUB r32, r32",SUB,"r32, r32",True,
"SUB m32, r32",SUB,"m32, r32",True,
"SUB r64, r64",SUB,"r64, r64",True,
"SUB m64, r64",SUB,"m64, r64",True,
"SUB r8, r8",SUB,"r8, r8",True,
"SUB r8, m8",SUB,"r8, m8",True,
"SUB r16, r16",SUB,"r16, r16",True,
"SUB r16, m16",SUB,"r16, m16",True,
"SUB r32, r32",SUB,"r32, r32",True,
"SUB r32, m32",SUB,"r32, m32",True,
"SUB r64, r64",SUB,"r64, r64",True,
"SUB r64, m64",SUB,"r64, m64",True,
SWAPGS,SWAPGS,,True,
SYSCALL,SYSCALL,,True,
SYSENTER,SYSENTER,,True,
SYSEXIT,SYSEXIT,,True,
SYSEXIT,SYSEXIT,,True,
SYSRET,SYSRET,,True,
SYSRET,SYSRET,,True,
"TEST AL, imm8",TEST,"AL, imm8",True,
"TEST AX, imm16",TEST,"AX, imm16",True,
"TEST EAX, imm32",TEST,"EAX, imm32",True,
"TEST RAX, imm32",TEST,"RAX, imm32",True,
"TEST r8, imm8",TEST,"r8, imm8",True,
"TEST m8, imm8",TEST,"m8, imm8",True,
"TEST r16, imm16",TEST,"r16, imm16",True,
"TEST m16, imm16",TEST,"m16, imm16",True,
"TEST r32, imm32",TEST,"r32, imm32",True,
"TEST m32, imm32",TEST,"m32, imm32",True,
"TEST r64, imm32",TEST,"r64, imm32",True,
"TEST m64, imm32",TEST,"m64, imm32",True,
"TEST r8, r8",TEST,"r8, r8",True,
"TEST m8, r8",TEST,"m8, r8",True,
"TEST r16, r16",TEST,"r16, r16",True,
"TEST m16, r16",TEST,"m16, r16",True,
"TEST r32, r32",TEST,"r32, r32",True,
"TEST m32, r32",TEST,"m32, r32",True,
"TEST r64, r64",TEST,"r64, r64",True,
"TEST m64, r64",TEST,"m64, r64",True,
"UD1 r32, r32",UD1,"r32, r32",True,
"UD1 r32, m32",UD1,"r32, m32",True,
UD2,UD2,,True,
WAIT,WAIT,,True,
FWAIT,FWAIT,,True,
WBINVD,WBINVD,,True,
WRMSR,WRMSR,,True,
"XADD r8, r8",XADD,"r8, r8",True,
"XADD m8, r8",XADD,"m8, r8",True,
"XADD r16, r16",XADD,"r16, r16",True,
"XADD m16, r16",XADD,"m16, r16",True,
"XADD r32, r32",XADD,"r32, r32",True,
"XADD m32, r32",XADD,"m32, r32",True,
"XADD r64, r64",XADD,"r64, r64",True,
"XADD m64, r64",XADD,"m64, r64",True,
"XCHG AX, r16",XCHG,"AX, r16",True,
"XCHG r16, AX",XCHG,"r16, AX",True,
"XCHG EAX, r32",XCHG,"EAX, r32",True,
"XCHG RAX, r64",XCHG,"RAX, r64",True,
"XCHG r32, EAX",XCHG,"r32, EAX",True,
"XCHG r64, RAX",XCHG,"r64, RAX",True,
"XCHG r8, r8",XCHG,"r8, r8",True,
"XCHG m8, r8",XCHG,"m8, r8",True,
"XCHG r8, r8",XCHG,"r8, r8",True,
"XCHG r8, m8",XCHG,"r8, m8",True,
"XCHG r16, r16",XCHG,"r16, r16",True,
"XCHG m16, r16",XCHG,"m16, r16",True,
"XCHG r16, r16",XCHG,"r16, r16",True,
"XCHG r16, m16",XCHG,"r16, m16",True,
"XCHG r32, r32",XCHG,"r32, r32",True,
"XCHG m32, r32",XCHG,"m32, r32",True,
"XCHG r64, r64",XCHG,"r64, r64",True,
"XCHG m64, r64",XCHG,"m64, r64",True,
"XCHG r32, r32",XCHG,"r32, r32",True,
"XCHG r32, m32",XCHG,"r32, m32",True,
"XCHG r64, r64",XCHG,"r64, r64",True,
"XCHG r64, m64",XCHG,"r64, m64",True,
XGETBV,XGETBV,,True,
XLAT m8,XLAT,m8,True,
XLATB,XLATB,,True,
XLATB,XLATB,,True,
"XOR AL, imm8",XOR,"AL, imm8",True,
"XOR AX, imm16",XOR,"AX, imm16",True,
"XOR EAX, imm32",XOR,"EAX, imm32",True,
"XOR RAX, imm32",XOR,"RAX, imm32",True,
"XOR r8, imm8",XOR,"r8, imm8",True,
"XOR m8, imm8",XOR,"m8, imm8",True,
"XOR r16, imm16",XOR,"r16, imm16",True,
"XOR m16, imm16",XOR,"m16, imm16",True,
"XOR r32, imm32",XOR,"r32, imm32",True,
"XOR m32, imm32",XOR,"m32, imm32",True,
"XOR r64, imm32",XOR,"r64, imm32",True,
"XOR m64, imm32",XOR,"m64, imm32",True,
"XOR r16, imm8",XOR,"r16, imm8",True,
"XOR m16, imm8",XOR,"m16, imm8",True,
"XOR r32, imm8",XOR,"r32, imm8",True,
"XOR m32, imm8",XOR,"m32, imm8",True,
"XOR r64, imm8",XOR,"r64, imm8",True,
"XOR m64, imm8",XOR,"m64, imm8",True,
"XOR r8, r8",XOR,"r8, r8",True,
"XOR m8, r8",XOR,"m8, r8",True,
"XOR r16, r16",XOR,"r16, r16",True,
"XOR m16, r16",XOR,"m16, r16",True,
"XOR r32, r32",XOR,"r32, r32",True,
"XOR m32, r32",XOR,"m32, r32",True,
"XOR r64, r64",XOR,"r64, r64",True,
"XOR m64, r64",XOR,"m64, r64",True,
"XOR r8, r8",XOR,"r8, r8",True,
"XOR r8, m8",XOR,"r8, m8",True,
"XOR r16, r16",XOR,"r16, r16",True,
"XOR r16, m16",XOR,"r16, m16",True,
"XOR r32, r32",XOR,"r32, r32",True,
"XOR r32, m32",XOR,"r32, m32",True,
"XOR r64, r64",XOR,"r64, r64",True,
"XOR r64, m64",XOR,"r64, m64",True,
XSETBV,XSETBV,,True,
