Instruction Syntax
CWD
CWDE
D9 F4FXTRACT
DAA
DAS
DEC r/m16
DEC r/m32
DEC r/m64
DEC r/m81
DEC r16
DEC r32
DIV r/m16
DIV r/m32
DIV r/m64
DIV r/m81
DR0-DR3 from register
DR0-DR7 from quadregister
DR0-DR7 from register
DR4-DR5 from register
DR6-DR7 from register
DS segment override
EDX:EAX with memory64
EMMS
ENTER 0
ENTER 1
ENTER imm16
ENTER imm8
ERETS
ERETU
ES segment override
EVEX-encoded 128-bit instructions
EVEX-encoded 256-bit instructions
EVEX-encoded 512-bit instructions
EVEX.128.0F.W0 10 /rVMOVUPS xmm1 {k1}{z}
EVEX.128.0F.W0 11 /rVMOVUPS xmm2/m128 {k1}{z}
EVEX.128.0F.W0 12 /rVMOVHLPS xmm1
EVEX.128.0F.W0 12 /rVMOVLPS xmm2
EVEX.128.0F.W0 13/rVMOVLPS m64
EVEX.128.0F.W0 14 /rVUNPCKLPS xmm1 {k1}{z}
EVEX.128.0F.W0 15 /rVUNPCKHPS xmm1 {k1}{z}
EVEX.128.0F.W0 16 /rVMOVHPS xmm2
EVEX.128.0F.W0 16 /rVMOVLHPS xmm1
EVEX.128.0F.W0 17 /rVMOVHPS m64
EVEX.128.0F.W0 28 /rVMOVAPS xmm1 {k1}{z}
EVEX.128.0F.W0 29 /rVMOVAPS xmm2/m128 {k1}{z}
EVEX.128.0F.W0 2B /rVMOVNTPS m128
EVEX.128.0F.W0 51 /rVSQRTPS xmm1 {k1}{z}
EVEX.128.0F.W0 54 /rVANDPS xmm1 {k1}{z}
EVEX.128.0F.W0 55 /rVANDNPS xmm1 {k1}{z}
EVEX.128.0F.W0 56 /rVORPS xmm1 {k1}{z}
EVEX.128.0F.W0 57 /rVXORPS xmm1 {k1}{z}
EVEX.128.0F.W0 58 /rVADDPS xmm1 {k1}{z}
EVEX.128.0F.W0 59 /rVMULPS xmm1 {k1}{z}
EVEX.128.0F.W0 5A /rVCVTPS2PD xmm1 {k1}{z}
EVEX.128.0F.W0 5B /rVCVTDQ2PS xmm1 {k1}{z}
EVEX.128.0F.W0 5C /rVSUBPS xmm1 {k1}{z}
EVEX.128.0F.W0 5D /rVMINPS xmm1 {k1}{z}
EVEX.128.0F.W0 5E /rVDIVPS xmm1 {k1}{z}
EVEX.128.0F.W0 5F /rVMAXPS xmm1 {k1}{z}
EVEX.128.0F.W0 78 /rVCVTTPS2UDQ xmm1 {k1}{z}
EVEX.128.0F.W0 79 /rVCVTPS2UDQ xmm1 {k1}{z}
EVEX.128.0F.W0 C2 /r ibVCMPPS k1 {k2}
EVEX.128.0F.W0 C6 /r ibVSHUFPS xmm1{k1}{z}
EVEX.128.0F.W0 imm8
EVEX.128.0F.W0 m64
EVEX.128.0F.W0 xmm1
EVEX.128.0F.W0 xmm2
EVEX.128.0F.W0 xmm2/m128
EVEX.128.0F.W0 xmm2/m128/m32bcst
EVEX.128.0F.W0 xmm2/m64/m32bcst
EVEX.128.0F.W0 xmm3
EVEX.128.0F.W0 xmm3/m128/m32bcst
EVEX.128.0F.W1 5B /rVCVTQQ2PS xmm1 {k1}{z}
EVEX.128.0F.W1 78 /rVCVTTPD2UDQ xmm1 {k1}{z}
EVEX.128.0F.W1 79 /rVCVTPD2UDQ xmm1 {k1}{z}
EVEX.128.0F.W1 xmm2/m128/m64bcst
EVEX.128.66.0F DA /rVPMINUB xmm1 {k1}{z}
EVEX.128.66.0F xmm2
EVEX.128.66.0F xmm3/m128
EVEX.128.66.0F.W0 5B /rVCVTPS2DQ xmm1 {k1}{z}
EVEX.128.66.0F.W0 62 /rVPUNPCKLDQ xmm1 {k1}{z}
EVEX.128.66.0F.W0 66 /rVPCMPGTD k1 {k2}
EVEX.128.66.0F.W0 6A /rVPUNPCKHDQ xmm1 {k1}{z}
EVEX.128.66.0F.W0 6B /rVPACKSSDW xmm1 {k1}{z}
EVEX.128.66.0F.W0 6E /rVMOVD xmm1
EVEX.128.66.0F.W0 6F /rVMOVDQA32 xmm1 {k1}{z}
EVEX.128.66.0F.W0 70 /r ibVPSHUFD xmm1 {k1}{z}
EVEX.128.66.0F.W0 72 /0 ibVPRORD xmm1 {k1}{z}
EVEX.128.66.0F.W0 72 /1 ibVPROLD xmm1 {k1}{z}
EVEX.128.66.0F.W0 72 /2 ibVPSRLD xmm1 {k1}{z}
EVEX.128.66.0F.W0 72 /4 ibVPSRAD xmm1 {k1}{z}
EVEX.128.66.0F.W0 72 /6 ibVPSLLD xmm1 {k1}{z}
EVEX.128.66.0F.W0 76 /rVPCMPEQD k1 {k2}
EVEX.128.66.0F.W0 78 /rVCVTTPS2UQQ xmm1 {k1}{z}
EVEX.128.66.0F.W0 79 /rVCVTPS2UQQ xmm1 {k1}{z}
EVEX.128.66.0F.W0 7A /rVCVTTPS2QQ xmm1 {k1}{z}
EVEX.128.66.0F.W0 7B /rVCVTPS2QQ xmm1 {k1}{z}
EVEX.128.66.0F.W0 7E /rVMOVD r32/m32
EVEX.128.66.0F.W0 7F /rVMOVDQA32 xmm2/m128 {k1}{z}
EVEX.128.66.0F.W0 D2 /rVPSRLD xmm1 {k1}{z}
EVEX.128.66.0F.W0 DB /rVPANDD xmm1 {k1}{z}
EVEX.128.66.0F.W0 DF /rVPANDND xmm1 {k1}{z}
EVEX.128.66.0F.W0 E2 /rVPSRAD xmm1 {k1}{z}
EVEX.128.66.0F.W0 E7 /rVMOVNTDQ m128
EVEX.128.66.0F.W0 EB /rVPORD xmm1 {k1}{z}
EVEX.128.66.0F.W0 EF /rVPXORD xmm1 {k1}{z}
EVEX.128.66.0F.W0 F2 /rVPSLLD xmm1 {k1}{z}
EVEX.128.66.0F.W0 FA /rVPSUBD xmm1 {k1}{z}
EVEX.128.66.0F.W0 FE /rVPADDD xmm1 {k1}{z}
EVEX.128.66.0F.W0 imm8
EVEX.128.66.0F.W0 r32/m32
EVEX.128.66.0F.W0 xmm1
EVEX.128.66.0F.W0 xmm2
EVEX.128.66.0F.W0 xmm2/m128
EVEX.128.66.0F.W0 xmm2/m128/m32bcst
EVEX.128.66.0F.W0 xmm2/m64/m32bcst
EVEX.128.66.0F.W0 xmm3/m128
EVEX.128.66.0F.W0 xmm3/m128/m32bcst
EVEX.128.66.0F.W1 10 /rVMOVUPD xmm1 {k1}{z}
EVEX.128.66.0F.W1 11 /rVMOVUPD xmm2/m128 {k1}{z}
EVEX.128.66.0F.W1 12 /rVMOVLPD xmm2
EVEX.128.66.0F.W1 13/rVMOVLPD m64
EVEX.128.66.0F.W1 14 /rVUNPCKLPD xmm1 {k1}{z}
EVEX.128.66.0F.W1 15 /rVUNPCKHPD xmm1 {k1}{z}
EVEX.128.66.0F.W1 16 /rVMOVHPD xmm2
EVEX.128.66.0F.W1 17 /rVMOVHPD m64
EVEX.128.66.0F.W1 28 /rVMOVAPD xmm1 {k1}{z}
EVEX.128.66.0F.W1 29 /rVMOVAPD xmm2/m128 {k1}{z}
EVEX.128.66.0F.W1 2B /rVMOVNTPD m128
EVEX.128.66.0F.W1 51 /rVSQRTPD xmm1 {k1}{z}
EVEX.128.66.0F.W1 54 /rVANDPD xmm1 {k1}{z}
EVEX.128.66.0F.W1 55 /rVANDNPD xmm1 {k1}{z}
EVEX.128.66.0F.W1 56 /rVORPD xmm1 {k1}{z}
EVEX.128.66.0F.W1 57 /rVXORPD xmm1 {k1}{z}
EVEX.128.66.0F.W1 58 /rVADDPD xmm1 {k1}{z}
EVEX.128.66.0F.W1 59 /rVMULPD xmm1 {k1}{z}
EVEX.128.66.0F.W1 5A /rVCVTPD2PS xmm1 {k1}{z}
EVEX.128.66.0F.W1 5C /rVSUBPD xmm1 {k1}{z}
EVEX.128.66.0F.W1 5D /rVMINPD xmm1 {k1}{z}
EVEX.128.66.0F.W1 5E /rVDIVPD xmm1 {k1}{z}
EVEX.128.66.0F.W1 5F /rVMAXPD xmm1 {k1}{z}
EVEX.128.66.0F.W1 6C /rVPUNPCKLQDQ xmm1 {k1}{z}
EVEX.128.66.0F.W1 6D /rVPUNPCKHQDQ xmm1 {k1}{z}
EVEX.128.66.0F.W1 6E /rVMOVQ xmm1
EVEX.128.66.0F.W1 6F /rVMOVDQA64 xmm1 {k1}{z}
EVEX.128.66.0F.W1 72 /0 ibVPRORQ xmm1 {k1}{z}
EVEX.128.66.0F.W1 72 /1 ibVPROLQ xmm1 {k1}{z}
EVEX.128.66.0F.W1 72 /4 ibVPSRAQ xmm1 {k1}{z}
EVEX.128.66.0F.W1 73 /2 ibVPSRLQ xmm1 {k1}{z}
EVEX.128.66.0F.W1 73 /6 ibVPSLLQ xmm1 {k1}{z}
EVEX.128.66.0F.W1 78 /rVCVTTPD2UQQ xmm1 {k1}{z}
EVEX.128.66.0F.W1 79 /rVCVTPD2UQQ xmm1 {k1}{z}
EVEX.128.66.0F.W1 7A /rVCVTTPD2QQ xmm1 {k1}{z}
EVEX.128.66.0F.W1 7B /rVCVTPD2QQ xmm1 {k1}{z}
EVEX.128.66.0F.W1 7E /rVMOVQ r64/m64
EVEX.128.66.0F.W1 7F /rVMOVDQA64 xmm2/m128 {k1}{z}
EVEX.128.66.0F.W1 C2 /r ibVCMPPD k1 {k2}
EVEX.128.66.0F.W1 C6 /r ibVSHUFPD xmm1{k1}{z}
EVEX.128.66.0F.W1 D3 /rVPSRLQ xmm1 {k1}{z}
EVEX.128.66.0F.W1 D4 /rVPADDQ xmm1 {k1}{z}
