Instruction Syntax
EVEX.128.66.0F38.W0 CF /rVGF2P8MULB xmm1{k1}{z}
EVEX.128.66.0F38.W0 m128
EVEX.128.66.0F38.W0 r32
EVEX.128.66.0F38.W0 reg
EVEX.128.66.0F38.W0 vm32x
EVEX.128.66.0F38.W0 vm64x
EVEX.128.66.0F38.W0 xmm1
EVEX.128.66.0F38.W0 xmm2
EVEX.128.66.0F38.W0 xmm2/m128
EVEX.128.66.0F38.W0 xmm2/m128/m32bcst
EVEX.128.66.0F38.W0 xmm2/m16
EVEX.128.66.0F38.W0 xmm2/m32
EVEX.128.66.0F38.W0 xmm2/m64
EVEX.128.66.0F38.W0 xmm2/m8
EVEX.128.66.0F38.W0 xmm3/m128
EVEX.128.66.0F38.W0 xmm3/m128/m32bcst
EVEX.128.66.0F38.W1 0D /rVPERMILPD xmm1 {k1}{z}
EVEX.128.66.0F38.W1 10 /rVPSRLVW xmm1 {k1}{z}
EVEX.128.66.0F38.W1 11 /rVPSRAVW xmm1 {k1}{z}
EVEX.128.66.0F38.W1 12 /rVPSLLVW xmm1 {k1}{z}
EVEX.128.66.0F38.W1 14 /rVPRORVQ xmm1 {k1}{z}
EVEX.128.66.0F38.W1 15 /rVPROLVQ xmm1 {k1}{z}
EVEX.128.66.0F38.W1 1F /rVPABSQ xmm1 {k1}{z}
EVEX.128.66.0F38.W1 26 /rVPTESTMW k2 {k1}
EVEX.128.66.0F38.W1 27 /rVPTESTMQ k2 {k1}
EVEX.128.66.0F38.W1 28 /rVPMULDQ xmm1 {k1}{z}
EVEX.128.66.0F38.W1 29 /rVPCMPEQQ k1 {k2}
EVEX.128.66.0F38.W1 2C /rVSCALEFPD xmm1 {k1}{z}
EVEX.128.66.0F38.W1 37 /rVPCMPGTQ k1 {k2}
EVEX.128.66.0F38.W1 39 /rVPMINSQ xmm1 {k1}{z}
EVEX.128.66.0F38.W1 3B /rVPMINUQ xmm1 {k1}{z}
EVEX.128.66.0F38.W1 3D /rVPMAXSQ xmm1 {k1}{z}
EVEX.128.66.0F38.W1 3F /rVPMAXUQ xmm1 {k1}{z}
EVEX.128.66.0F38.W1 40 /rVPMULLQ xmm1 {k1}{z}
EVEX.128.66.0F38.W1 42 /rVGETEXPPD xmm1 {k1}{z}
EVEX.128.66.0F38.W1 44 /rVPLZCNTQ xmm1 {k1}{z}
EVEX.128.66.0F38.W1 45 /rVPSRLVQ xmm1 {k1}{z}
EVEX.128.66.0F38.W1 46 /rVPSRAVQ xmm1 {k1}{z}
EVEX.128.66.0F38.W1 47 /rVPSLLVQ xmm1 {k1}{z}
EVEX.128.66.0F38.W1 4C /rVRCP14PD xmm1 {k1}{z}
EVEX.128.66.0F38.W1 4E /rVRSQRT14PD xmm1 {k1}{z}
EVEX.128.66.0F38.W1 54 /rVPOPCNTW xmm1{k1}{z}
EVEX.128.66.0F38.W1 55 /rVPOPCNTQ xmm1{k1}{z}
EVEX.128.66.0F38.W1 59 /rVPBROADCASTQ xmm1 {k1}{z}
EVEX.128.66.0F38.W1 62 /rVPEXPANDW xmm1{k1}{z}
EVEX.128.66.0F38.W1 63 /rVPCOMPRESSW m128{k1}
EVEX.128.66.0F38.W1 63 /rVPCOMPRESSW xmm1{k1}{z}
EVEX.128.66.0F38.W1 64 /rVPBLENDMQ xmm1 {k1}{z}
EVEX.128.66.0F38.W1 65 /rVBLENDMPD xmm1 {k1}{z}
EVEX.128.66.0F38.W1 66 /rVPBLENDMW xmm1 {k1}{z}
EVEX.128.66.0F38.W1 70 /rVPSHLDVW xmm1{k1}{z}
EVEX.128.66.0F38.W1 71 /rVPSHLDVQ xmm1{k1}{z}
EVEX.128.66.0F38.W1 72 /rVPSHRDVW xmm1{k1}{z}
EVEX.128.66.0F38.W1 73 /rVPSHRDVQ xmm1{k1}{z}
EVEX.128.66.0F38.W1 75 /rVPERMI2W xmm1 {k1}{z}
EVEX.128.66.0F38.W1 76 /rVPERMI2Q xmm1 {k1}{z}
EVEX.128.66.0F38.W1 77 /rVPERMI2PD xmm1 {k1}{z}
EVEX.128.66.0F38.W1 7C /rVPBROADCASTQ xmm1 {k1}{z}
EVEX.128.66.0F38.W1 7D /rVPERMT2W xmm1 {k1}{z}
EVEX.128.66.0F38.W1 7E /rVPERMT2Q xmm1 {k1}{z}
EVEX.128.66.0F38.W1 7F /rVPERMT2PD xmm1 {k1}{z}
EVEX.128.66.0F38.W1 83 /rVPMULTISHIFTQB xmm1 {k1}{z}
EVEX.128.66.0F38.W1 88 /rVEXPANDPD xmm1 {k1}{z}
EVEX.128.66.0F38.W1 89 /rVPEXPANDQ xmm1 {k1}{z}
EVEX.128.66.0F38.W1 8A /rVCOMPRESSPD xmm1/m128 {k1}{z}
EVEX.128.66.0F38.W1 8B /rVPCOMPRESSQ xmm1/m128 {k1}{z}
EVEX.128.66.0F38.W1 8D /rVPERMW xmm1 {k1}{z}
EVEX.128.66.0F38.W1 90 /vsibVPGATHERDQ xmm1 {k1}
EVEX.128.66.0F38.W1 91 /vsibVPGATHERQQ xmm1 {k1}
EVEX.128.66.0F38.W1 92 /vsibVGATHERDPD xmm1 {k1}
EVEX.128.66.0F38.W1 93 /vsibVGATHERQPD xmm1 {k1}
EVEX.128.66.0F38.W1 96 /rVFMADDSUB132PD xmm1 {k1}{z}
EVEX.128.66.0F38.W1 97 /rVFMSUBADD132PD xmm1 {k1}{z}
EVEX.128.66.0F38.W1 98 /rVFMADD132PD xmm1 {k1}{z}
EVEX.128.66.0F38.W1 9A /rVFMSUB132PD xmm1 {k1}{z}
EVEX.128.66.0F38.W1 9C /rVFNMADD132PD xmm0 {k1}{z}
EVEX.128.66.0F38.W1 9E /rVFNMSUB132PD xmm1 {k1}{z}
EVEX.128.66.0F38.W1 A0 /vsibVPSCATTERDQ vm32x {k1}
EVEX.128.66.0F38.W1 A1 /vsibVPSCATTERQQ vm64x {k1}
EVEX.128.66.0F38.W1 A2 /vsibVSCATTERDPD vm32x {k1}
EVEX.128.66.0F38.W1 A3 /vsibVSCATTERQPD vm64x {k1}
EVEX.128.66.0F38.W1 A6 /rVFMADDSUB213PD xmm1 {k1}{z}
EVEX.128.66.0F38.W1 A7 /rVFMSUBADD213PD xmm1 {k1}{z}
EVEX.128.66.0F38.W1 A8 /rVFMADD213PD xmm1 {k1}{z}
EVEX.128.66.0F38.W1 AA /rVFMSUB213PD xmm1 {k1}{z}
EVEX.128.66.0F38.W1 AC /rVFNMADD213PD xmm1 {k1}{z}
EVEX.128.66.0F38.W1 AE /rVFNMSUB213PD xmm1 {k1}{z}
EVEX.128.66.0F38.W1 B4 /rVPMADD52LUQ xmm1 {k1}{z}
EVEX.128.66.0F38.W1 B5 /rVPMADD52HUQ xmm1 {k1}{z}
EVEX.128.66.0F38.W1 B6 /rVFMADDSUB231PD xmm1 {k1}{z}
EVEX.128.66.0F38.W1 B7 /rVFMSUBADD231PD xmm1 {k1}{z}
EVEX.128.66.0F38.W1 B8 /rVFMADD231PD xmm1 {k1}{z}
EVEX.128.66.0F38.W1 BA /rVFMSUB231PD xmm1 {k1}{z}
EVEX.128.66.0F38.W1 BC /rVFNMADD231PD xmm1 {k1}{z}
EVEX.128.66.0F38.W1 BE /rVFNMSUB231PD xmm1 {k1}{z}
EVEX.128.66.0F38.W1 C4 /rVPCONFLICTQ xmm1 {k1}{z}
EVEX.128.66.0F38.W1 m128
EVEX.128.66.0F38.W1 r64
EVEX.128.66.0F38.W1 vm32x
EVEX.128.66.0F38.W1 vm64x
EVEX.128.66.0F38.W1 xmm1
EVEX.128.66.0F38.W1 xmm2
EVEX.128.66.0F38.W1 xmm2/m128
EVEX.128.66.0F38.W1 xmm2/m128/m64bcst
EVEX.128.66.0F38.W1 xmm2/m64
EVEX.128.66.0F38.W1 xmm3/m128
EVEX.128.66.0F38.W1 xmm3/m128/m64bcst
EVEX.128.66.0F38.WIG 00 /rVPSHUFB xmm1 {k1}{z}
EVEX.128.66.0F38.WIG 04 /rVPMADDUBSW xmm1 {k1}{z}
EVEX.128.66.0F38.WIG 0B /rVPMULHRSW xmm1 {k1}{z}
EVEX.128.66.0F38.WIG 1C /rVPABSB xmm1 {k1}{z}
EVEX.128.66.0F38.WIG 1D /rVPABSW xmm1 {k1}{z}
EVEX.128.66.0F38.WIG 20 /rVPMOVSXBW xmm1 {k1}{z}
EVEX.128.66.0F38.WIG 21 /rVPMOVSXBD xmm1 {k1}{z}
EVEX.128.66.0F38.WIG 22 /rVPMOVSXBQ xmm1 {k1}{z}
EVEX.128.66.0F38.WIG 23 /rVPMOVSXWD xmm1 {k1}{z}
EVEX.128.66.0F38.WIG 24 /rVPMOVSXWQ xmm1 {k1}{z}
EVEX.128.66.0F38.WIG 31 /rVPMOVZXBD xmm1 {k1}{z}
EVEX.128.66.0F38.WIG 32 /rVPMOVZXBQ xmm1 {k1}{z}
EVEX.128.66.0F38.WIG 33 /rVPMOVZXWD xmm1 {k1}{z}
EVEX.128.66.0F38.WIG 34 /rVPMOVZXWQ xmm1 {k1}{z}
EVEX.128.66.0F38.WIG 38 /rVPMINSB xmm1{k1}{z}
EVEX.128.66.0F38.WIG 3C /rVPMAXSB xmm1{k1}{z}
EVEX.128.66.0F38.WIG 3E /rVPMAXUW xmm1{k1}{z}
EVEX.128.66.0F38.WIG DC /rVAESENC xmm1
EVEX.128.66.0F38.WIG DD /rVAESENCLAST xmm1
EVEX.128.66.0F38.WIG DE /rVAESDEC xmm1
EVEX.128.66.0F38.WIG DF /rVAESDECLAST xmm1
EVEX.128.66.0F38.WIG xmm2
EVEX.128.66.0F38.WIG xmm2/m128
EVEX.128.66.0F38.WIG xmm2/m16
EVEX.128.66.0F38.WIG xmm2/m32
EVEX.128.66.0F38.WIG xmm2/m64
EVEX.128.66.0F38.WIG xmm3/m128
EVEX.128.66.0F3A.W0 03 /r ibVALIGND xmm1 {k1}{z}
EVEX.128.66.0F3A.W0 04 /r ibVPERMILPS xmm1 {k1}{z}
EVEX.128.66.0F3A.W0 08 /r ibVRNDSCALEPS xmm1 {k1}{z}
EVEX.128.66.0F3A.W0 16 /r ibVPEXTRD r32/m32
EVEX.128.66.0F3A.W0 1D /r ibVCVTPS2PH xmm1/m64 {k1}{z}
EVEX.128.66.0F3A.W0 1E /r ibVPCMPUD k1 {k2}
EVEX.128.66.0F3A.W0 1F /r ibVPCMPD k1 {k2}
EVEX.128.66.0F3A.W0 21 /r ibVINSERTPS xmm1
EVEX.128.66.0F3A.W0 22 /r ibVPINSRD xmm1
EVEX.128.66.0F3A.W0 25 /r ibVPTERNLOGD xmm1 {k1}{z}
EVEX.128.66.0F3A.W0 26 /r ibVGETMANTPS xmm1 {k1}{z}
EVEX.128.66.0F3A.W0 3E /r ibVPCMPUB k1 {k2}
EVEX.128.66.0F3A.W0 3F /r ibVPCMPB k1 {k2}
EVEX.128.66.0F3A.W0 42 /r ibVDBPSADBW xmm1 {k1}{z}
EVEX.128.66.0F3A.W0 50 /r ibVRANGEPS xmm1 {k1}{z}
EVEX.128.66.0F3A.W0 54 /rVFIXUPIMMPS xmm1 {k1}{z}
EVEX.128.66.0F3A.W0 56 /r ibVREDUCEPS xmm1 {k1}{z}
EVEX.128.66.0F3A.W0 66 /r ibVFPCLASSPS k2 {k1}
EVEX.128.66.0F3A.W0 71 /r /ibVPSHLDD xmm1{k1}{z}
EVEX.128.66.0F3A.W0 73 /r /ibVPSHRDD xmm1{k1}{z}
EVEX.128.66.0F3A.W0 imm8
EVEX.128.66.0F3A.W0 r32/m32
EVEX.128.66.0F3A.W0 xmm2
EVEX.128.66.0F3A.W0 xmm2/m128/m32bcst
EVEX.128.66.0F3A.W0 xmm3/m128
EVEX.128.66.0F3A.W0 xmm3/m128/m32bcst
EVEX.128.66.0F3A.W0 xmm3/m32
EVEX.128.66.0F3A.W1 03 /r ibVALIGNQ xmm1 {k1}{z}
EVEX.128.66.0F3A.W1 05 /r ibVPERMILPD xmm1 {k1}{z}
EVEX.128.66.0F3A.W1 09 /r ibVRNDSCALEPD xmm1 {k1}{z}
EVEX.128.66.0F3A.W1 16 /r ibVPEXTRQ r64/m64
EVEX.128.66.0F3A.W1 1E /r ibVPCMPUQ k1 {k2}
EVEX.128.66.0F3A.W1 1F /r ibVPCMPQ k1 {k2}
EVEX.128.66.0F3A.W1 22 /r ibVPINSRQ xmm1
EVEX.128.66.0F3A.W1 25 /r ibVPTERNLOGQ xmm1 {k1}{z}
EVEX.128.66.0F3A.W1 26 /r ibVGETMANTPD xmm1 {k1}{z}
EVEX.128.66.0F3A.W1 3E /r ibVPCMPUW k1 {k2}
EVEX.128.66.0F3A.W1 3F /r ibVPCMPW k1 {k2}
EVEX.128.66.0F3A.W1 50 /r ibVRANGEPD xmm1 {k1}{z}
EVEX.128.66.0F3A.W1 54 /r ibVFIXUPIMMPD xmm1 {k1}{z}
EVEX.128.66.0F3A.W1 56 /r ibVREDUCEPD xmm1 {k1}{z}
EVEX.128.66.0F3A.W1 66 /r ibVFPCLASSPD k2 {k1}
EVEX.128.66.0F3A.W1 70 /r /ibVPSHLDW xmm1{k1}{z}
EVEX.128.66.0F3A.W1 71 /r /ibVPSHLDQ xmm1{k1}{z}
EVEX.128.66.0F3A.W1 72 /r /ibVPSHRDW xmm1{k1}{z}
EVEX.128.66.0F3A.W1 73 /r /ibVPSHRDQ xmm1{k1}{z}
EVEX.128.66.0F3A.W1 CE /r /ibVGF2P8AFFINEQB xmm1{k1}{z}
EVEX.128.66.0F3A.W1 CF /r /ibVGF2P8AFFINEINVQB xmm1{k1}{z}
EVEX.128.66.0F3A.W1 imm8
EVEX.128.66.0F3A.W1 r64/m64
EVEX.128.66.0F3A.W1 xmm2
EVEX.128.66.0F3A.W1 xmm2/m128/m64bcst
EVEX.128.66.0F3A.W1 xmm3/m128
EVEX.128.66.0F3A.W1 xmm3/m128/m64bcst
EVEX.128.66.0F3A.WIG 0F /r ibVPALIGNR xmm1 {k1}{z}
EVEX.128.66.0F3A.WIG 14 /r ibVPEXTRB reg/m8
EVEX.128.66.0F3A.WIG 15 /r ibVPEXTRW reg/m16
EVEX.128.66.0F3A.WIG 17 /r ibVEXTRACTPS reg/m32
EVEX.128.66.0F3A.WIG 20 /r ibVPINSRB xmm1
EVEX.128.66.0F3A.WIG 44 /r /ibVPCLMULQDQ xmm1
EVEX.128.66.0F3A.WIG imm8
EVEX.128.66.0F3A.WIG r32/m8
EVEX.128.66.0F3A.WIG xmm1
EVEX.128.66.0F3A.WIG xmm2
EVEX.128.66.0F3A.WIG xmm3/m128
EVEX.128.66.MAP5.W0 1D /rVCVTPS2PHX xmm1{k1}{z}
EVEX.128.66.MAP5.W0 5B /rVCVTPH2DQ xmm1{k1}{z}
EVEX.128.66.MAP5.W0 78 /rVCVTTPH2UQQ xmm1{k1}{z}
EVEX.128.66.MAP5.W0 79 /rVCVTPH2UQQ xmm1{k1}{z}
EVEX.128.66.MAP5.W0 7A /rVCVTTPH2QQ xmm1{k1}{z}
EVEX.128.66.MAP5.W0 7B /rVCVTPH2QQ xmm1{k1}{z}
EVEX.128.66.MAP5.W0 7C /rVCVTTPH2W xmm1{k1}{z}
EVEX.128.66.MAP5.W0 7D /rVCVTPH2W xmm1{k1}{z}
EVEX.128.66.MAP5.W0 xmm2/m128/m16bcst
EVEX.128.66.MAP5.W0 xmm2/m128/m32bcst
EVEX.128.66.MAP5.W0 xmm2/m32/m16bcst
EVEX.128.66.MAP5.W0 xmm2/m64/m16bcst
EVEX.128.66.MAP5.W1 5A /rVCVTPD2PH xmm1{k1}{z}
EVEX.128.66.MAP5.W1 xmm2/m128/m64bcst
EVEX.128.66.MAP5.WIG 6E /rVMOVW xmm1
EVEX.128.66.MAP5.WIG 7E /rVMOVW reg/m16
EVEX.128.66.MAP5.WIG reg/m16
EVEX.128.66.MAP5.WIG xmm1
EVEX.128.66.MAP6.W0 13 /rVCVTPH2PSX xmm1{k1}{z}
EVEX.128.66.MAP6.W0 2C /rVSCALEFPH xmm1{k1}{z}
EVEX.128.66.MAP6.W0 42 /rVGETEXPPH xmm1{k1}{z}
EVEX.128.66.MAP6.W0 4C /rVRCPPH xmm1{k1}{z}
EVEX.128.66.MAP6.W0 4E /rVRSQRTPH xmm1{k1}{z}
EVEX.128.66.MAP6.W0 96 /rVFMADDSUB132PH xmm1{k1}{z}
EVEX.128.66.MAP6.W0 97 /rVFMSUBADD132PH xmm1{k1}{z}
EVEX.128.66.MAP6.W0 98 /rVFMADD132PH xmm1{k1}{z}
EVEX.128.66.MAP6.W0 9A /rVFMSUB132PH xmm1{k1}{z}
EVEX.128.66.MAP6.W0 9C /rVFNMADD132PH xmm1{k1}{z}
EVEX.128.66.MAP6.W0 9E /rVFNMSUB132PH xmm1{k1}{z}
EVEX.128.66.MAP6.W0 A6 /rVFMADDSUB213PH xmm1{k1}{z}
EVEX.128.66.MAP6.W0 A7 /rVFMSUBADD213PH xmm1{k1}{z}
EVEX.128.66.MAP6.W0 A8 /rVFMADD213PH xmm1{k1}{z}
EVEX.128.66.MAP6.W0 AA /rVFMSUB213PH xmm1{k1}{z}
EVEX.128.66.MAP6.W0 AC /rVFNMADD213PH xmm1{k1}{z}
EVEX.128.66.MAP6.W0 AE /rVFNMSUB213PH xmm1{k1}{z}
EVEX.128.66.MAP6.W0 B6 /rVFMADDSUB231PH xmm1{k1}{z}
EVEX.128.66.MAP6.W0 B7 /rVFMSUBADD231PH xmm1{k1}{z}
EVEX.128.66.MAP6.W0 B8 /rVFMADD231PH xmm1{k1}{z}
EVEX.128.66.MAP6.W0 BA /rVFMSUB231PH xmm1{k1}{z}
EVEX.128.66.MAP6.W0 BC /rVFNMADD231PH xmm1{k1}{z}
EVEX.128.66.MAP6.W0 BE /rVFNMSUB231PH xmm1{k1}{z}
EVEX.128.66.MAP6.W0 xmm2
EVEX.128.66.MAP6.W0 xmm2/m128/m16bcst
EVEX.128.66.MAP6.W0 xmm2/m64/m16bcst
EVEX.128.66.MAP6.W0 xmm3/m128/m16bcst
EVEX.128.F2.0F.W0 6F /rVMOVDQU8 xmm1 {k1}{z}
EVEX.128.F2.0F.W0 7A /rVCVTUDQ2PS xmm1 {k1}{z}
EVEX.128.F2.0F.W0 7F /rVMOVDQU8 xmm2/m128 {k1}{z}
EVEX.128.F2.0F.W0 xmm1
EVEX.128.F2.0F.W0 xmm2/m128
EVEX.128.F2.0F.W0 xmm2/m128/m32bcst
EVEX.128.F2.0F.W1 12 /rVMOVDDUP xmm1 {k1}{z}
EVEX.128.F2.0F.W1 6F /rVMOVDQU16 xmm1 {k1}{z}
EVEX.128.F2.0F.W1 7A /rVCVTUQQ2PS xmm1 {k1}{z}
EVEX.128.F2.0F.W1 7F /rVMOVDQU16 xmm2/m128 {k1}{z}
EVEX.128.F2.0F.W1 E6 /rVCVTPD2DQ xmm1 {k1}{z}
EVEX.128.F2.0F.W1 xmm1
EVEX.128.F2.0F.W1 xmm2/m128
EVEX.128.F2.0F.W1 xmm2/m128/m64bcst
EVEX.128.F2.0F.W1 xmm2/m64
EVEX.128.F2.0F.WIG 70 /r ibVPSHUFLW xmm1 {k1}{z}
EVEX.128.F2.0F.WIG imm8
EVEX.128.F2.0F.WIG xmm2/m128
EVEX.128.F2.0F38.W0 72 /rVCVTNE2PS2BF16 xmm1{k1}{z}
EVEX.128.F2.0F38.W0 xmm2
EVEX.128.F2.0F38.W0 xmm3/m128/m32bcst
EVEX.128.F2.MAP5.W0 7A /rVCVTUDQ2PH xmm1{k1}{z}
EVEX.128.F2.MAP5.W0 7D /rVCVTUW2PH xmm1{k1}{z}
EVEX.128.F2.MAP5.W0 xmm2/m128/m16bcst
EVEX.128.F2.MAP5.W0 xmm2/m128/m32bcst
EVEX.128.F2.MAP5.W1 7A /rVCVTUQQ2PH xmm1{k1}{z}
EVEX.128.F2.MAP5.W1 xmm2/m128/m64bcst
EVEX.128.F2.MAP6.W0 56 /rVFCMADDCPH xmm1{k1}{z}
EVEX.128.F2.MAP6.W0 D6 /rVFCMULCPH xmm1{k1}{z}
EVEX.128.F2.MAP6.W0 xmm2
EVEX.128.F2.MAP6.W0 xmm3/m128/m32bcst
EVEX.128.F3.0F.W0 12 /rVMOVSLDUP xmm1 {k1}{z}
EVEX.128.F3.0F.W0 16 /rVMOVSHDUP xmm1 {k1}{z}
EVEX.128.F3.0F.W0 5B /rVCVTTPS2DQ xmm1 {k1}{z}
EVEX.128.F3.0F.W0 6F /rVMOVDQU32 xmm1 {k1}{z}
EVEX.128.F3.0F.W0 7A /rVCVTUDQ2PD xmm1 {k1}{z}
EVEX.128.F3.0F.W0 7F /rVMOVDQU32 xmm2/m128 {k1}{z}
EVEX.128.F3.0F.W0 E6 /rVCVTDQ2PD xmm1 {k1}{z}
EVEX.128.F3.0F.W0 xmm1
EVEX.128.F3.0F.W0 xmm2/m128
EVEX.128.F3.0F.W0 xmm2/m128/m32bcst
EVEX.128.F3.0F.W0 xmm2/m64/m32bcst
EVEX.128.F3.0F.W0 xmm2/mm128
EVEX.128.F3.0F.W1 6F /rVMOVDQU64 xmm1 {k1}{z}
EVEX.128.F3.0F.W1 7A /rVCVTUQQ2PD xmm1 {k1}{z}
EVEX.128.F3.0F.W1 7E /rVMOVQ xmm1
EVEX.128.F3.0F.W1 7F /rVMOVDQU64 xmm2/m128 {k1}{z}
EVEX.128.F3.0F.W1 E6 /rVCVTQQ2PD xmm1 {k1}{z}
EVEX.128.F3.0F.W1 xmm1
EVEX.128.F3.0F.W1 xmm2/m128
EVEX.128.F3.0F.W1 xmm2/m128/m64bcst
EVEX.128.F3.0F.W1 xmm2/m64
EVEX.128.F3.0F.WIG 70 /r ibVPSHUFHW xmm1 {k1}{z}
EVEX.128.F3.0F.WIG imm8
EVEX.128.F3.0F.WIG xmm2/m128
EVEX.128.F3.0F38.W0 10 /rVPMOVUSWB xmm1/m64 {k1}{z}
EVEX.128.F3.0F38.W0 11 /rVPMOVUSDB xmm1/m32 {k1}{z}
EVEX.128.F3.0F38.W0 12 /rVPMOVUSQB xmm1/m16 {k1}{z}
EVEX.128.F3.0F38.W0 13 /rVPMOVUSDW xmm1/m64 {k1}{z}
EVEX.128.F3.0F38.W0 14 /rVPMOVUSQW xmm1/m32 {k1}{z}
EVEX.128.F3.0F38.W0 15 /rVPMOVUSQD xmm1/m64 {k1}{z}
EVEX.128.F3.0F38.W0 20 /rVPMOVSWB xmm1/m64 {k1}{z}
EVEX.128.F3.0F38.W0 21 /rVPMOVSDB xmm1/m32 {k1}{z}
EVEX.128.F3.0F38.W0 22 /rVPMOVSQB xmm1/m16 {k1}{z}
EVEX.128.F3.0F38.W0 23 /rVPMOVSDW xmm1/m64 {k1}{z}
EVEX.128.F3.0F38.W0 24 /rVPMOVSQW xmm1/m32 {k1}{z}
EVEX.128.F3.0F38.W0 25 /rVPMOVSQD xmm1/m64 {k1}{z}
EVEX.128.F3.0F38.W0 26 /rVPTESTNMB k2 {k1}
EVEX.128.F3.0F38.W0 27 /rVPTESTNMD k2 {k1}
EVEX.128.F3.0F38.W0 28 /rVPMOVM2B xmm1
EVEX.128.F3.0F38.W0 29 /rVPMOVB2M k1
EVEX.128.F3.0F38.W0 30 /rVPMOVWB xmm1/m64 {k1}{z}
EVEX.128.F3.0F38.W0 31 /rVPMOVDB xmm1/m32 {k1}{z}
EVEX.128.F3.0F38.W0 32 /rVPMOVQB xmm1/m16 {k1}{z}
EVEX.128.F3.0F38.W0 33 /rVPMOVDW xmm1/m64 {k1}{z}
EVEX.128.F3.0F38.W0 34 /rVPMOVQW xmm1/m32 {k1}{z}
EVEX.128.F3.0F38.W0 35 /rVPMOVQD xmm1/m128 {k1}{z}
EVEX.128.F3.0F38.W0 38 /rVPMOVM2D xmm1
EVEX.128.F3.0F38.W0 39 /rVPMOVD2M k1
EVEX.128.F3.0F38.W0 3A /rVPBROADCASTMW2D xmm1
EVEX.128.F3.0F38.W0 52 /rVDPBF16PS xmm1{k1}{z}
EVEX.128.F3.0F38.W0 72 /rVCVTNEPS2BF16 xmm1{k1}{z}
EVEX.128.F3.0F38.W0 k1
EVEX.128.F3.0F38.W0 xmm1
EVEX.128.F3.0F38.W0 xmm2
EVEX.128.F3.0F38.W0 xmm2/m128/m32bcst
EVEX.128.F3.0F38.W0 xmm3/m128
EVEX.128.F3.0F38.W0 xmm3/m128/m32bcst
EVEX.128.F3.0F38.W1 26 /rVPTESTNMW k2 {k1}
EVEX.128.F3.0F38.W1 27 /rVPTESTNMQ k2 {k1}
EVEX.128.F3.0F38.W1 28 /rVPMOVM2W xmm1
EVEX.128.F3.0F38.W1 29 /rVPMOVW2M k1
EVEX.128.F3.0F38.W1 2A /rVPBROADCASTMB2Q xmm1
EVEX.128.F3.0F38.W1 38 /rVPMOVM2Q xmm1
EVEX.128.F3.0F38.W1 39 /rVPMOVQ2M k1
EVEX.128.F3.0F38.W1 k1
EVEX.128.F3.0F38.W1 xmm1
EVEX.128.F3.0F38.W1 xmm2
EVEX.128.F3.0F38.W1 xmm3/m128
EVEX.128.F3.0F38.W1 xmm3/m128/m64bcst
EVEX.128.F3.MAP5.W0 5B /rVCVTTPH2DQ xmm1{k1}{z}
EVEX.128.F3.MAP5.W0 7D /rVCVTW2PH xmm1{k1}{z}
EVEX.128.F3.MAP5.W0 xmm2/m128/m16bcst
EVEX.128.F3.MAP5.W0 xmm2/m64/m16bcst
EVEX.128.F3.MAP6.W0 56 /rVFMADDCPH xmm1{k1}{z}
EVEX.128.F3.MAP6.W0 D6 /rVFMULCPH xmm1{k1}{z}
EVEX.128.F3.MAP6.W0 xmm2
EVEX.128.F3.MAP6.W0 xmm3/m128/m32bcst
EVEX.128.NP.0F3A.W0 08 /r /ibVRNDSCALEPH xmm1{k1}{z}
EVEX.128.NP.0F3A.W0 26 /r /ibVGETMANTPH xmm1{k1}{z}
EVEX.128.NP.0F3A.W0 56 /r /ibVREDUCEPH xmm1{k1}{z}
EVEX.128.NP.0F3A.W0 66 /r /ibVFPCLASSPH k1{k2}
EVEX.128.NP.0F3A.W0 C2 /r /ibVCMPPH k1{k2}
EVEX.128.NP.0F3A.W0 imm8
EVEX.128.NP.0F3A.W0 xmm1/m128/m16bcst
EVEX.128.NP.0F3A.W0 xmm2
EVEX.128.NP.0F3A.W0 xmm2/m128/m16bcst
EVEX.128.NP.0F3A.W0 xmm3/m128/m16bcst
EVEX.128.NP.MAP5.W0 51 /rVSQRTPH xmm1{k1}{z}
EVEX.128.NP.MAP5.W0 58 /rVADDPH xmm1{k1}{z}
EVEX.128.NP.MAP5.W0 59 /rVMULPH xmm1{k1}{z}
EVEX.128.NP.MAP5.W0 5A /rVCVTPH2PD xmm1{k1}{z}
EVEX.128.NP.MAP5.W0 5B /rVCVTDQ2PH xmm1{k1}{z}
EVEX.128.NP.MAP5.W0 5C /rVSUBPH xmm1{k1}{z}
EVEX.128.NP.MAP5.W0 5D /rVMINPH xmm1{k1}{z}
EVEX.128.NP.MAP5.W0 5E /rVDIVPH xmm1{k1}{z}
EVEX.128.NP.MAP5.W0 5F /rVMAXPH xmm1{k1}{z}
EVEX.128.NP.MAP5.W0 78 /rVCVTTPH2UDQ xmm1{k1}{z}
EVEX.128.NP.MAP5.W0 79 /rVCVTPH2UDQ xmm1{k1}{z}
EVEX.128.NP.MAP5.W0 7C /rVCVTTPH2UW xmm1{k1}{z}
EVEX.128.NP.MAP5.W0 7D /rVCVTPH2UW xmm1{k1}{z}
EVEX.128.NP.MAP5.W0 xmm2
EVEX.128.NP.MAP5.W0 xmm2/m128/m16bcst
EVEX.128.NP.MAP5.W0 xmm2/m128/m32bcst
EVEX.128.NP.MAP5.W0 xmm2/m32/m16bcst
EVEX.128.NP.MAP5.W0 xmm2/m64/m16bcst
