Original,Opcode,Instruction
CMOVB r/m32,,CMOVB m32
CMOVB r/m64,,CMOVB r64
CMOVB r/m64,,CMOVB m64
CMOVB r16,,CMOVB r16
CMOVB r32,,CMOVB r32
CMOVB r64,,CMOVB r64
CMOVBE r/m16,,CMOVBE r16
CMOVBE r/m16,,CMOVBE m16
CMOVBE r/m32,,CMOVBE r32
CMOVBE r/m32,,CMOVBE m32
CMOVBE r/m64,,CMOVBE r64
CMOVBE r/m64,,CMOVBE m64
CMOVBE r16,,CMOVBE r16
CMOVBE r32,,CMOVBE r32
CMOVBE r64,,CMOVBE r64
CMOVC r/m16,,CMOVC r16
CMOVC r/m16,,CMOVC m16
CMOVC r/m32,,CMOVC r32
CMOVC r/m32,,CMOVC m32
CMOVC r/m64,,CMOVC r64
CMOVC r/m64,,CMOVC m64
CMOVC r16,,CMOVC r16
CMOVC r32,,CMOVC r32
CMOVC r64,,CMOVC r64
CMOVE r/m16,,CMOVE r16
CMOVE r/m16,,CMOVE m16
CMOVE r/m32,,CMOVE r32
CMOVE r/m32,,CMOVE m32
CMOVE r/m64,,CMOVE r64
CMOVE r/m64,,CMOVE m64
CMOVE r16,,CMOVE r16
CMOVE r32,,CMOVE r32
CMOVE r64,,CMOVE r64
CMOVG r/m16,,CMOVG r16
CMOVG r/m16,,CMOVG m16
CMOVG r/m32,,CMOVG r32
CMOVG r/m32,,CMOVG m32
CMOVG r/m64,,CMOVG r64
CMOVG r/m64,,CMOVG m64
CMOVG r16,,CMOVG r16
CMOVG r32,,CMOVG r32
CMOVG r64,,CMOVG r64
CMOVGE r/m16,,CMOVGE r16
CMOVGE r/m16,,CMOVGE m16
CMOVGE r/m32,,CMOVGE r32
CMOVGE r/m32,,CMOVGE m32
CMOVGE r/m64,,CMOVGE r64
CMOVGE r/m64,,CMOVGE m64
CMOVGE r16,,CMOVGE r16
CMOVGE r32,,CMOVGE r32
CMOVGE r64,,CMOVGE r64
CMOVL r/m16,,CMOVL r16
CMOVL r/m16,,CMOVL m16
CMOVL r/m32,,CMOVL r32
CMOVL r/m32,,CMOVL m32
CMOVL r/m64,,CMOVL r64
CMOVL r/m64,,CMOVL m64
CMOVL r16,,CMOVL r16
CMOVL r32,,CMOVL r32
CMOVL r64,,CMOVL r64
CMOVLE r/m16,,CMOVLE r16
CMOVLE r/m16,,CMOVLE m16
CMOVLE r/m32,,CMOVLE r32
CMOVLE r/m32,,CMOVLE m32
CMOVLE r/m64,,CMOVLE r64
CMOVLE r/m64,,CMOVLE m64
CMOVLE r16,,CMOVLE r16
CMOVLE r32,,CMOVLE r32
CMOVLE r64,,CMOVLE r64
CMOVNA r/m16,,CMOVNA r16
CMOVNA r/m16,,CMOVNA m16
CMOVNA r/m32,,CMOVNA r32
CMOVNA r/m32,,CMOVNA m32
CMOVNA r/m64,,CMOVNA r64
CMOVNA r/m64,,CMOVNA m64
CMOVNA r16,,CMOVNA r16
CMOVNA r32,,CMOVNA r32
CMOVNA r64,,CMOVNA r64
CMOVNAE r/m16,,CMOVNAE r16
CMOVNAE r/m16,,CMOVNAE m16
CMOVNAE r/m32,,CMOVNAE r32
CMOVNAE r/m32,,CMOVNAE m32
CMOVNAE r/m64,,CMOVNAE r64
CMOVNAE r/m64,,CMOVNAE m64
CMOVNAE r16,,CMOVNAE r16
CMOVNAE r32,,CMOVNAE r32
CMOVNAE r64,,CMOVNAE r64
CMOVNB r/m16,,CMOVNB r16
CMOVNB r/m16,,CMOVNB m16
CMOVNB r/m32,,CMOVNB r32
CMOVNB r/m32,,CMOVNB m32
CMOVNB r/m64,,CMOVNB r64
CMOVNB r/m64,,CMOVNB m64
CMOVNB r16,,CMOVNB r16
CMOVNB r32,,CMOVNB r32
CMOVNB r64,,CMOVNB r64
CMOVNBE r/m16,,CMOVNBE r16
CMOVNBE r/m16,,CMOVNBE m16
CMOVNBE r/m32,,CMOVNBE r32
CMOVNBE r/m32,,CMOVNBE m32
CMOVNBE r/m64,,CMOVNBE r64
CMOVNBE r/m64,,CMOVNBE m64
CMOVNBE r16,,CMOVNBE r16
CMOVNBE r32,,CMOVNBE r32
CMOVNBE r64,,CMOVNBE r64
CMOVNC r/m16,,CMOVNC r16
CMOVNC r/m16,,CMOVNC m16
CMOVNC r/m32,,CMOVNC r32
CMOVNC r/m32,,CMOVNC m32
CMOVNC r/m64,,CMOVNC r64
CMOVNC r/m64,,CMOVNC m64
CMOVNC r16,,CMOVNC r16
CMOVNC r32,,CMOVNC r32
CMOVNC r64,,CMOVNC r64
CMOVNE r/m16,,CMOVNE r16
CMOVNE r/m16,,CMOVNE m16
CMOVNE r/m32,,CMOVNE r32
CMOVNE r/m32,,CMOVNE m32
CMOVNE r/m64,,CMOVNE r64
CMOVNE r/m64,,CMOVNE m64
CMOVNE r16,,CMOVNE r16
CMOVNE r32,,CMOVNE r32
CMOVNE r64,,CMOVNE r64
CMOVNG r/m16,,CMOVNG r16
CMOVNG r/m16,,CMOVNG m16
CMOVNG r/m32,,CMOVNG r32
CMOVNG r/m32,,CMOVNG m32
CMOVNG r/m64,,CMOVNG r64
CMOVNG r/m64,,CMOVNG m64
CMOVNG r16,,CMOVNG r16
CMOVNG r32,,CMOVNG r32
CMOVNG r64,,CMOVNG r64
CMOVNGE r/m16,,CMOVNGE r16
CMOVNGE r/m16,,CMOVNGE m16
CMOVNGE r/m32,,CMOVNGE r32
CMOVNGE r/m32,,CMOVNGE m32
CMOVNGE r/m64,,CMOVNGE r64
CMOVNGE r/m64,,CMOVNGE m64
CMOVNGE r16,,CMOVNGE r16
CMOVNGE r32,,CMOVNGE r32
CMOVNGE r64,,CMOVNGE r64
CMOVNL r/m16,,CMOVNL r16
CMOVNL r/m16,,CMOVNL m16
CMOVNL r/m32,,CMOVNL r32
CMOVNL r/m32,,CMOVNL m32
CMOVNL r/m64,,CMOVNL r64
CMOVNL r/m64,,CMOVNL m64
CMOVNL r16,,CMOVNL r16
CMOVNL r32,,CMOVNL r32
CMOVNL r64,,CMOVNL r64
CMOVNLE r/m16,,CMOVNLE r16
CMOVNLE r/m16,,CMOVNLE m16
CMOVNLE r/m32,,CMOVNLE r32
CMOVNLE r/m32,,CMOVNLE m32
CMOVNLE r/m64,,CMOVNLE r64
CMOVNLE r/m64,,CMOVNLE m64
CMOVNLE r16,,CMOVNLE r16
CMOVNLE r32,,CMOVNLE r32
CMOVNLE r64,,CMOVNLE r64
CMOVNO r/m16,,CMOVNO r16
CMOVNO r/m16,,CMOVNO m16
CMOVNO r/m32,,CMOVNO r32
CMOVNO r/m32,,CMOVNO m32
CMOVNO r/m64,,CMOVNO r64
CMOVNO r/m64,,CMOVNO m64
CMOVNO r16,,CMOVNO r16
CMOVNO r32,,CMOVNO r32
CMOVNO r64,,CMOVNO r64
CMOVNP r/m16,,CMOVNP r16
CMOVNP r/m16,,CMOVNP m16
CMOVNP r/m32,,CMOVNP r32
CMOVNP r/m32,,CMOVNP m32
CMOVNP r/m64,,CMOVNP r64
CMOVNP r/m64,,CMOVNP m64
CMOVNP r16,,CMOVNP r16
CMOVNP r32,,CMOVNP r32
CMOVNP r64,,CMOVNP r64
CMOVNS r/m16,,CMOVNS r16
CMOVNS r/m16,,CMOVNS m16
CMOVNS r/m32,,CMOVNS r32
CMOVNS r/m32,,CMOVNS m32
CMOVNS r/m64,,CMOVNS r64
CMOVNS r/m64,,CMOVNS m64
CMOVNS r16,,CMOVNS r16
CMOVNS r32,,CMOVNS r32
CMOVNS r64,,CMOVNS r64
CMOVNZ r/m16,,CMOVNZ r16
CMOVNZ r/m16,,CMOVNZ m16
CMOVNZ r/m32,,CMOVNZ r32
CMOVNZ r/m32,,CMOVNZ m32
CMOVNZ r/m64,,CMOVNZ r64
CMOVNZ r/m64,,CMOVNZ m64
CMOVNZ r16,,CMOVNZ r16
CMOVNZ r32,,CMOVNZ r32
CMOVNZ r64,,CMOVNZ r64
CMOVO r/m16,,CMOVO r16
CMOVO r/m16,,CMOVO m16
CMOVO r/m32,,CMOVO r32
CMOVO r/m32,,CMOVO m32
CMOVO r/m64,,CMOVO r64
CMOVO r/m64,,CMOVO m64
CMOVO r16,,CMOVO r16
CMOVO r32,,CMOVO r32
CMOVO r64,,CMOVO r64
CMOVP r/m16,,CMOVP r16
CMOVP r/m16,,CMOVP m16
CMOVP r/m32,,CMOVP r32
CMOVP r/m32,,CMOVP m32
CMOVP r/m64,,CMOVP r64
CMOVP r/m64,,CMOVP m64
CMOVP r16,,CMOVP r16
CMOVP r32,,CMOVP r32
CMOVP r64,,CMOVP r64
CMOVPE r/m16,,CMOVPE r16
CMOVPE r/m16,,CMOVPE m16
CMOVPE r/m32,,CMOVPE r32
CMOVPE r/m32,,CMOVPE m32
CMOVPE r/m64,,CMOVPE r64
CMOVPE r/m64,,CMOVPE m64
CMOVPE r16,,CMOVPE r16
CMOVPE r32,,CMOVPE r32
CMOVPE r64,,CMOVPE r64
CMOVPO r/m16,,CMOVPO r16
CMOVPO r/m16,,CMOVPO m16
CMOVPO r/m32,,CMOVPO r32
CMOVPO r/m32,,CMOVPO m32
CMOVPO r/m64,,CMOVPO r64
CMOVPO r/m64,,CMOVPO m64
CMOVPO r16,,CMOVPO r16
CMOVPO r32,,CMOVPO r32
CMOVPO r64,,CMOVPO r64
CMOVS r/m16,,CMOVS r16
CMOVS r/m16,,CMOVS m16
CMOVS r/m32,,CMOVS r32
CMOVS r/m32,,CMOVS m32
CMOVS r/m64,,CMOVS r64
CMOVS r/m64,,CMOVS m64
CMOVS r16,,CMOVS r16
CMOVS r32,,CMOVS r32
CMOVS r64,,CMOVS r64
CMOVZ r/m16,,CMOVZ r16
CMOVZ r/m16,,CMOVZ m16
CMOVZ r/m32,,CMOVZ r32
CMOVZ r/m32,,CMOVZ m32
CMOVZ r/m64,,CMOVZ r64
CMOVZ r/m64,,CMOVZ m64
CMOVZ r16,,CMOVZ r16
CMOVZ r32,,CMOVZ r32
CMOVZ r64,,CMOVZ r64
CMP AL,,CMP AL
CMP AX,,CMP AX
CMP EAX,,CMP EAX
CMP RAX,,CMP RAX
CMP imm16,,CMP imm16
CMP imm32,,CMP imm32
CMP imm8,,CMP imm8
CMP r/m16,,CMP r16
CMP r/m16,,CMP m16
CMP r/m32,,CMP r32
CMP r/m32,,CMP m32
CMP r/m64,,CMP r64
CMP r/m64,,CMP m64
CMP r/m81,,CMP r81
CMP r/m81,,CMP m81
CMP r16,,CMP r16
CMP r32,,CMP r32
CMP r64,,CMP r64
CMP r81,,CMP r81
CMPCCXADD,,CMPCCXADD
CMPS m16,,CMPS m16
CMPS m32,,CMPS m32
CMPS m64,,CMPS m64
CMPS m8,,CMPS m8
CMPSB,,CMPSB
CMPSD,,CMPSD
CMPSQ,,CMPSQ
CMPSW,,CMPSW
CMPXCHG r/m16,,CMPXCHG r16
CMPXCHG r/m16,,CMPXCHG m16
CMPXCHG r/m32,,CMPXCHG r32
CMPXCHG r/m32,,CMPXCHG m32
CMPXCHG r/m64,,CMPXCHG r64
CMPXCHG r/m64,,CMPXCHG m64
CMPXCHG r/m81,,CMPXCHG r81
CMPXCHG r/m81,,CMPXCHG m81
CMPXCHG r16,,CMPXCHG r16
CMPXCHG r32,,CMPXCHG r32
CMPXCHG r64,,CMPXCHG r64
CMPXCHG r81,,CMPXCHG r81
CPUID,,CPUID
CQO,,CQO
CR0 from register,,CR0 from register
CR0-CR4 from register,,CR0-CR4 from register
CR2 from register,,CR2 from register
CR3 from register,,CR3 from register
CR4 from register,,CR4 from register
CRx from qwordregister,,CRx from qwordregister
CS segment override,,CS segment override
CWD,,CWD
CWDE,,CWDE
D9 F4FXTRACT,,D9 F4FXTRACT
DAA,,DAA
DAS,,DAS
DEC r/m16,,DEC r16
DEC r/m16,,DEC m16
DEC r/m32,,DEC r32
DEC r/m32,,DEC m32
DEC r/m64,,DEC r64
DEC r/m64,,DEC m64
DEC r/m81,,DEC r81
DEC r/m81,,DEC m81
DEC r16,,DEC r16
DEC r32,,DEC r32
DIV r/m16,,DIV r16
DIV r/m16,,DIV m16
DIV r/m32,,DIV r32
DIV r/m32,,DIV m32
DIV r/m64,,DIV r64
DIV r/m64,,DIV m64
DIV r/m81,,DIV r81
DIV r/m81,,DIV m81
DR0-DR3 from register,,DR0-DR3 from register
DR0-DR7 from quadregister,,DR0-DR7 from quadregister
DR0-DR7 from register,,DR0-DR7 from register
DR4-DR5 from register,,DR4-DR5 from register
DR6-DR7 from register,,DR6-DR7 from register
