Original,Opcode,Instruction
EVEX.256.66.0F38.W1 5A /rVBROADCASTI64X2 ymm1 {k1}{z},EVEX.256.66.0F38.W1 5A /r,VBROADCASTI64X2 ymm1 {k1}{z}
EVEX.256.66.0F38.W1 62 /rVPEXPANDW ymm1{k1}{z},EVEX.256.66.0F38.W1 62 /r,VPEXPANDW ymm1{k1}{z}
EVEX.256.66.0F38.W1 63 /rVPCOMPRESSW m256{k1},EVEX.256.66.0F38.W1 63 /r,VPCOMPRESSW m256{k1}
EVEX.256.66.0F38.W1 63 /rVPCOMPRESSW ymm1{k1}{z},EVEX.256.66.0F38.W1 63 /r,VPCOMPRESSW ymm1{k1}{z}
EVEX.256.66.0F38.W1 64 /rVPBLENDMQ ymm1 {k1}{z},EVEX.256.66.0F38.W1 64 /r,VPBLENDMQ ymm1 {k1}{z}
EVEX.256.66.0F38.W1 65 /rVBLENDMPD ymm1 {k1}{z},EVEX.256.66.0F38.W1 65 /r,VBLENDMPD ymm1 {k1}{z}
EVEX.256.66.0F38.W1 66 /rVPBLENDMW ymm1 {k1}{z},EVEX.256.66.0F38.W1 66 /r,VPBLENDMW ymm1 {k1}{z}
EVEX.256.66.0F38.W1 70 /rVPSHLDVW ymm1{k1}{z},EVEX.256.66.0F38.W1 70 /r,VPSHLDVW ymm1{k1}{z}
EVEX.256.66.0F38.W1 71 /rVPSHLDVQ ymm1{k1}{z},EVEX.256.66.0F38.W1 71 /r,VPSHLDVQ ymm1{k1}{z}
EVEX.256.66.0F38.W1 72 /rVPSHRDVW ymm1{k1}{z},EVEX.256.66.0F38.W1 72 /r,VPSHRDVW ymm1{k1}{z}
EVEX.256.66.0F38.W1 73 /rVPSHRDVQ ymm1{k1}{z},EVEX.256.66.0F38.W1 73 /r,VPSHRDVQ ymm1{k1}{z}
EVEX.256.66.0F38.W1 75 /rVPERMI2W ymm1 {k1}{z},EVEX.256.66.0F38.W1 75 /r,VPERMI2W ymm1 {k1}{z}
EVEX.256.66.0F38.W1 76 /rVPERMI2Q ymm1 {k1}{z},EVEX.256.66.0F38.W1 76 /r,VPERMI2Q ymm1 {k1}{z}
EVEX.256.66.0F38.W1 77 /rVPERMI2PD ymm1 {k1}{z},EVEX.256.66.0F38.W1 77 /r,VPERMI2PD ymm1 {k1}{z}
EVEX.256.66.0F38.W1 7C /rVPBROADCASTQ ymm1 {k1}{z},EVEX.256.66.0F38.W1 7C /r,VPBROADCASTQ ymm1 {k1}{z}
EVEX.256.66.0F38.W1 7D /rVPERMT2W ymm1 {k1}{z},EVEX.256.66.0F38.W1 7D /r,VPERMT2W ymm1 {k1}{z}
EVEX.256.66.0F38.W1 7E /rVPERMT2Q ymm1 {k1}{z},EVEX.256.66.0F38.W1 7E /r,VPERMT2Q ymm1 {k1}{z}
EVEX.256.66.0F38.W1 7F /rVPERMT2PD ymm1 {k1}{z},EVEX.256.66.0F38.W1 7F /r,VPERMT2PD ymm1 {k1}{z}
EVEX.256.66.0F38.W1 83 /rVPMULTISHIFTQB ymm1 {k1}{z},EVEX.256.66.0F38.W1 83 /r,VPMULTISHIFTQB ymm1 {k1}{z}
EVEX.256.66.0F38.W1 88 /rVEXPANDPD ymm1 {k1}{z},EVEX.256.66.0F38.W1 88 /r,VEXPANDPD ymm1 {k1}{z}
EVEX.256.66.0F38.W1 89 /rVPEXPANDQ ymm1 {k1}{z},EVEX.256.66.0F38.W1 89 /r,VPEXPANDQ ymm1 {k1}{z}
EVEX.256.66.0F38.W1 8A /rVCOMPRESSPD ymm1/m256 {k1}{z},EVEX.256.66.0F38.W1 8A /r,VCOMPRESSPD ymm1 {k1}{z}
EVEX.256.66.0F38.W1 8A /rVCOMPRESSPD ymm1/m256 {k1}{z},EVEX.256.66.0F38.W1 8A /r,VCOMPRESSPD m256 {k1}{z}
EVEX.256.66.0F38.W1 8B /rVPCOMPRESSQ ymm1/m256 {k1}{z},EVEX.256.66.0F38.W1 8B /r,VPCOMPRESSQ ymm1 {k1}{z}
EVEX.256.66.0F38.W1 8B /rVPCOMPRESSQ ymm1/m256 {k1}{z},EVEX.256.66.0F38.W1 8B /r,VPCOMPRESSQ m256 {k1}{z}
EVEX.256.66.0F38.W1 8D /rVPERMW ymm1 {k1}{z},EVEX.256.66.0F38.W1 8D /r,VPERMW ymm1 {k1}{z}
EVEX.256.66.0F38.W1 90 /vsibVPGATHERDQ ymm1 {k1},,EVEX.256.66.0F38.W1 90 /vsibVPGATHERDQ ymm1 {k1}
EVEX.256.66.0F38.W1 91 /vsibVPGATHERQQ ymm1 {k1},,EVEX.256.66.0F38.W1 91 /vsibVPGATHERQQ ymm1 {k1}
EVEX.256.66.0F38.W1 92 /vsibVGATHERDPD ymm1 {k1},,EVEX.256.66.0F38.W1 92 /vsibVGATHERDPD ymm1 {k1}
EVEX.256.66.0F38.W1 93 /vsibVGATHERQPD ymm1 {k1},,EVEX.256.66.0F38.W1 93 /vsibVGATHERQPD ymm1 {k1}
EVEX.256.66.0F38.W1 96 /rVFMADDSUB132PD ymm1 {k1}{z},EVEX.256.66.0F38.W1 96 /r,VFMADDSUB132PD ymm1 {k1}{z}
EVEX.256.66.0F38.W1 97 /rVFMSUBADD132PD ymm1 {k1}{z},EVEX.256.66.0F38.W1 97 /r,VFMSUBADD132PD ymm1 {k1}{z}
EVEX.256.66.0F38.W1 98 /rVFMADD132PD ymm1 {k1}{z},EVEX.256.66.0F38.W1 98 /r,VFMADD132PD ymm1 {k1}{z}
EVEX.256.66.0F38.W1 9A /rVFMSUB132PD ymm1 {k1}{z},EVEX.256.66.0F38.W1 9A /r,VFMSUB132PD ymm1 {k1}{z}
EVEX.256.66.0F38.W1 9C /rVFNMADD132PD ymm1 {k1}{z},EVEX.256.66.0F38.W1 9C /r,VFNMADD132PD ymm1 {k1}{z}
EVEX.256.66.0F38.W1 9E /rVFNMSUB132PD ymm1 {k1}{z},EVEX.256.66.0F38.W1 9E /r,VFNMSUB132PD ymm1 {k1}{z}
EVEX.256.66.0F38.W1 A0 /vsibVPSCATTERDQ vm32x {k1},,EVEX.256.66.0F38.W1 A0 /vsibVPSCATTERDQ vm32x {k1}
EVEX.256.66.0F38.W1 A1 /vsibVPSCATTERQQ vm64y {k1},,EVEX.256.66.0F38.W1 A1 /vsibVPSCATTERQQ vm64y {k1}
EVEX.256.66.0F38.W1 A2 /vsibVSCATTERDPD vm32y {k1},,EVEX.256.66.0F38.W1 A2 /vsibVSCATTERDPD vm32y {k1}
EVEX.256.66.0F38.W1 A3 /vsibVSCATTERQPD vm64y {k1},,EVEX.256.66.0F38.W1 A3 /vsibVSCATTERQPD vm64y {k1}
EVEX.256.66.0F38.W1 A6 /rVFMADDSUB213PD ymm1 {k1}{z},EVEX.256.66.0F38.W1 A6 /r,VFMADDSUB213PD ymm1 {k1}{z}
EVEX.256.66.0F38.W1 A7 /rVFMSUBADD213PD ymm1 {k1}{z},EVEX.256.66.0F38.W1 A7 /r,VFMSUBADD213PD ymm1 {k1}{z}
EVEX.256.66.0F38.W1 A8 /rVFMADD213PD ymm1 {k1}{z},EVEX.256.66.0F38.W1 A8 /r,VFMADD213PD ymm1 {k1}{z}
EVEX.256.66.0F38.W1 AA /rVFMSUB213PD ymm1 {k1}{z},EVEX.256.66.0F38.W1 AA /r,VFMSUB213PD ymm1 {k1}{z}
EVEX.256.66.0F38.W1 AC /rVFNMADD213PD ymm1 {k1}{z},EVEX.256.66.0F38.W1 AC /r,VFNMADD213PD ymm1 {k1}{z}
EVEX.256.66.0F38.W1 AE /rVFNMSUB213PD ymm1 {k1}{z},EVEX.256.66.0F38.W1 AE /r,VFNMSUB213PD ymm1 {k1}{z}
EVEX.256.66.0F38.W1 B4 /rVPMADD52LUQ ymm1 {k1}{z},EVEX.256.66.0F38.W1 B4 /r,VPMADD52LUQ ymm1 {k1}{z}
EVEX.256.66.0F38.W1 B5 /rVPMADD52HUQ ymm1 {k1}{z},EVEX.256.66.0F38.W1 B5 /r,VPMADD52HUQ ymm1 {k1}{z}
EVEX.256.66.0F38.W1 B6 /rVFMADDSUB231PD ymm1 {k1}{z},EVEX.256.66.0F38.W1 B6 /r,VFMADDSUB231PD ymm1 {k1}{z}
EVEX.256.66.0F38.W1 B7 /rVFMSUBADD231PD ymm1 {k1}{z},EVEX.256.66.0F38.W1 B7 /r,VFMSUBADD231PD ymm1 {k1}{z}
EVEX.256.66.0F38.W1 B8 /rVFMADD231PD ymm1 {k1}{z},EVEX.256.66.0F38.W1 B8 /r,VFMADD231PD ymm1 {k1}{z}
EVEX.256.66.0F38.W1 BA /rVFMSUB231PD ymm1 {k1}{z},EVEX.256.66.0F38.W1 BA /r,VFMSUB231PD ymm1 {k1}{z}
EVEX.256.66.0F38.W1 BC /rVFNMADD231PD ymm1 {k1}{z},EVEX.256.66.0F38.W1 BC /r,VFNMADD231PD ymm1 {k1}{z}
EVEX.256.66.0F38.W1 BE /rVFNMSUB231PD ymm1 {k1}{z},EVEX.256.66.0F38.W1 BE /r,VFNMSUB231PD ymm1 {k1}{z}
EVEX.256.66.0F38.W1 C4 /rVPCONFLICTQ ymm1 {k1}{z},EVEX.256.66.0F38.W1 C4 /r,VPCONFLICTQ ymm1 {k1}{z}
EVEX.256.66.0F38.W1 m128,,EVEX.256.66.0F38.W1 m128
EVEX.256.66.0F38.W1 m256,,EVEX.256.66.0F38.W1 m256
EVEX.256.66.0F38.W1 r64,,EVEX.256.66.0F38.W1 r64
EVEX.256.66.0F38.W1 vm32x,,EVEX.256.66.0F38.W1 vm32x
EVEX.256.66.0F38.W1 vm64y,,EVEX.256.66.0F38.W1 vm64y
EVEX.256.66.0F38.W1 xmm2/m64,,EVEX.256.66.0F38.W1 xmm2
EVEX.256.66.0F38.W1 xmm2/m64,,EVEX.256.66.0F38.W1 m64
EVEX.256.66.0F38.W1 ymm1,,EVEX.256.66.0F38.W1 ymm1
EVEX.256.66.0F38.W1 ymm2,,EVEX.256.66.0F38.W1 ymm2
EVEX.256.66.0F38.W1 ymm2/m256,,EVEX.256.66.0F38.W1 ymm2
EVEX.256.66.0F38.W1 ymm2/m256,,EVEX.256.66.0F38.W1 m256
EVEX.256.66.0F38.W1 ymm2/m256/m64bcst,,EVEX.256.66.0F38.W1 ymm2/m64bcst
EVEX.256.66.0F38.W1 ymm2/m256/m64bcst,,EVEX.256.66.0F38.W1 m256/m64bcst
EVEX.256.66.0F38.W1 ymm3/m256,,EVEX.256.66.0F38.W1 ymm3
EVEX.256.66.0F38.W1 ymm3/m256,,EVEX.256.66.0F38.W1 m256
EVEX.256.66.0F38.W1 ymm3/m256/m64bcst,,EVEX.256.66.0F38.W1 ymm3/m64bcst
EVEX.256.66.0F38.W1 ymm3/m256/m64bcst,,EVEX.256.66.0F38.W1 m256/m64bcst
EVEX.256.66.0F38.WIG 00 /rVPSHUFB ymm1 {k1}{z},EVEX.256.66.0F38.WIG 00 /r,VPSHUFB ymm1 {k1}{z}
EVEX.256.66.0F38.WIG 04 /rVPMADDUBSW ymm1 {k1}{z},EVEX.256.66.0F38.WIG 04 /r,VPMADDUBSW ymm1 {k1}{z}
EVEX.256.66.0F38.WIG 0B /rVPMULHRSW ymm1 {k1}{z},EVEX.256.66.0F38.WIG 0B /r,VPMULHRSW ymm1 {k1}{z}
EVEX.256.66.0F38.WIG 1C /rVPABSB ymm1 {k1}{z},EVEX.256.66.0F38.WIG 1C /r,VPABSB ymm1 {k1}{z}
EVEX.256.66.0F38.WIG 1D /rVPABSW ymm1 {k1}{z},EVEX.256.66.0F38.WIG 1D /r,VPABSW ymm1 {k1}{z}
EVEX.256.66.0F38.WIG 20 /rVPMOVSXBW ymm1 {k1}{z},EVEX.256.66.0F38.WIG 20 /r,VPMOVSXBW ymm1 {k1}{z}
EVEX.256.66.0F38.WIG 21 /rVPMOVSXBD ymm1 {k1}{z},EVEX.256.66.0F38.WIG 21 /r,VPMOVSXBD ymm1 {k1}{z}
EVEX.256.66.0F38.WIG 22 /rVPMOVSXBQ ymm1 {k1}{z},EVEX.256.66.0F38.WIG 22 /r,VPMOVSXBQ ymm1 {k1}{z}
EVEX.256.66.0F38.WIG 23 /rVPMOVSXWD ymm1 {k1}{z},EVEX.256.66.0F38.WIG 23 /r,VPMOVSXWD ymm1 {k1}{z}
EVEX.256.66.0F38.WIG 24 /rVPMOVSXWQ ymm1 {k1}{z},EVEX.256.66.0F38.WIG 24 /r,VPMOVSXWQ ymm1 {k1}{z}
EVEX.256.66.0F38.WIG 30 /rVPMOVZXBW ymm1 {k1}{z},EVEX.256.66.0F38.WIG 30 /r,VPMOVZXBW ymm1 {k1}{z}
EVEX.256.66.0F38.WIG 31 /rVPMOVZXBD ymm1 {k1}{z},EVEX.256.66.0F38.WIG 31 /r,VPMOVZXBD ymm1 {k1}{z}
EVEX.256.66.0F38.WIG 32 /rVPMOVZXBQ ymm1 {k1}{z},EVEX.256.66.0F38.WIG 32 /r,VPMOVZXBQ ymm1 {k1}{z}
EVEX.256.66.0F38.WIG 33 /rVPMOVZXWD ymm1 {k1}{z},EVEX.256.66.0F38.WIG 33 /r,VPMOVZXWD ymm1 {k1}{z}
EVEX.256.66.0F38.WIG 34 /rVPMOVZXWQ ymm1 {k1}{z},EVEX.256.66.0F38.WIG 34 /r,VPMOVZXWQ ymm1 {k1}{z}
EVEX.256.66.0F38.WIG 38 /rVPMINSB ymm1{k1}{z},EVEX.256.66.0F38.WIG 38 /r,VPMINSB ymm1{k1}{z}
EVEX.256.66.0F38.WIG 3C /rVPMAXSB ymm1{k1}{z},EVEX.256.66.0F38.WIG 3C /r,VPMAXSB ymm1{k1}{z}
EVEX.256.66.0F38.WIG 3E /rVPMAXUW ymm1{k1}{z},EVEX.256.66.0F38.WIG 3E /r,VPMAXUW ymm1{k1}{z}
EVEX.256.66.0F38.WIG DC /rVAESENC ymm1,EVEX.256.66.0F38.WIG DC /r,VAESENC ymm1
EVEX.256.66.0F38.WIG DD /rVAESENCLAST ymm1,EVEX.256.66.0F38.WIG DD /r,VAESENCLAST ymm1
EVEX.256.66.0F38.WIG DE /rVAESDEC ymm1,EVEX.256.66.0F38.WIG DE /r,VAESDEC ymm1
EVEX.256.66.0F38.WIG DF /rVAESDECLAST ymm1,EVEX.256.66.0F38.WIG DF /r,VAESDECLAST ymm1
EVEX.256.66.0F38.WIG xmm2/m128,,EVEX.256.66.0F38.WIG xmm2
EVEX.256.66.0F38.WIG xmm2/m128,,EVEX.256.66.0F38.WIG m128
EVEX.256.66.0F38.WIG xmm2/m32,,EVEX.256.66.0F38.WIG xmm2
EVEX.256.66.0F38.WIG xmm2/m32,,EVEX.256.66.0F38.WIG m32
EVEX.256.66.0F38.WIG xmm2/m64,,EVEX.256.66.0F38.WIG xmm2
EVEX.256.66.0F38.WIG xmm2/m64,,EVEX.256.66.0F38.WIG m64
EVEX.256.66.0F38.WIG ymm2,,EVEX.256.66.0F38.WIG ymm2
EVEX.256.66.0F38.WIG ymm2/m256,,EVEX.256.66.0F38.WIG ymm2
EVEX.256.66.0F38.WIG ymm2/m256,,EVEX.256.66.0F38.WIG m256
EVEX.256.66.0F38.WIG ymm3/m256,,EVEX.256.66.0F38.WIG ymm3
EVEX.256.66.0F38.WIG ymm3/m256,,EVEX.256.66.0F38.WIG m256
EVEX.256.66.0F3A.W0 03 /r ibVALIGND ymm1 {k1}{z},,EVEX.256.66.0F3A.W0 03 /r ibVALIGND ymm1 {k1}{z}
EVEX.256.66.0F3A.W0 04 /r ibVPERMILPS ymm1 {k1}{z},,EVEX.256.66.0F3A.W0 04 /r ibVPERMILPS ymm1 {k1}{z}
EVEX.256.66.0F3A.W0 08 /r ibVRNDSCALEPS ymm1 {k1}{z},,EVEX.256.66.0F3A.W0 08 /r ibVRNDSCALEPS ymm1 {k1}{z}
EVEX.256.66.0F3A.W0 18 /r ibVINSERTF32X4 ymm1 {k1}{z},,EVEX.256.66.0F3A.W0 18 /r ibVINSERTF32X4 ymm1 {k1}{z}
EVEX.256.66.0F3A.W0 19 /r ibVEXTRACTF32X4 xmm1/m128 {k1}{z},,EVEX.256.66.0F3A.W0 19 /r ibVEXTRACTF32X4 xmm1 {k1}{z}
EVEX.256.66.0F3A.W0 19 /r ibVEXTRACTF32X4 xmm1/m128 {k1}{z},,EVEX.256.66.0F3A.W0 19 /r ibVEXTRACTF32X4 m128 {k1}{z}
EVEX.256.66.0F3A.W0 1D /r ibVCVTPS2PH xmm1/m128 {k1}{z},,EVEX.256.66.0F3A.W0 1D /r ibVCVTPS2PH xmm1 {k1}{z}
EVEX.256.66.0F3A.W0 1D /r ibVCVTPS2PH xmm1/m128 {k1}{z},,EVEX.256.66.0F3A.W0 1D /r ibVCVTPS2PH m128 {k1}{z}
EVEX.256.66.0F3A.W0 1E /r ibVPCMPUD k1 {k2},,EVEX.256.66.0F3A.W0 1E /r ibVPCMPUD k1 {k2}
EVEX.256.66.0F3A.W0 1F /r ibVPCMPD k1 {k2},,EVEX.256.66.0F3A.W0 1F /r ibVPCMPD k1 {k2}
EVEX.256.66.0F3A.W0 23 /r ibVSHUFF32X4 ymm1{k1}{z},,EVEX.256.66.0F3A.W0 23 /r ibVSHUFF32X4 ymm1{k1}{z}
EVEX.256.66.0F3A.W0 25 /r ibVPTERNLOGD ymm1 {k1}{z},,EVEX.256.66.0F3A.W0 25 /r ibVPTERNLOGD ymm1 {k1}{z}
EVEX.256.66.0F3A.W0 26 /r ibVGETMANTPS ymm1 {k1}{z},,EVEX.256.66.0F3A.W0 26 /r ibVGETMANTPS ymm1 {k1}{z}
EVEX.256.66.0F3A.W0 38 /r ibVINSERTI32X4 ymm1 {k1}{z},,EVEX.256.66.0F3A.W0 38 /r ibVINSERTI32X4 ymm1 {k1}{z}
EVEX.256.66.0F3A.W0 39 /r ibVEXTRACTI32X4 xmm1/m128 {k1}{z},,EVEX.256.66.0F3A.W0 39 /r ibVEXTRACTI32X4 xmm1 {k1}{z}
EVEX.256.66.0F3A.W0 39 /r ibVEXTRACTI32X4 xmm1/m128 {k1}{z},,EVEX.256.66.0F3A.W0 39 /r ibVEXTRACTI32X4 m128 {k1}{z}
EVEX.256.66.0F3A.W0 3E /r ibVPCMPUB k1 {k2},,EVEX.256.66.0F3A.W0 3E /r ibVPCMPUB k1 {k2}
EVEX.256.66.0F3A.W0 3F /r ibVPCMPB k1 {k2},,EVEX.256.66.0F3A.W0 3F /r ibVPCMPB k1 {k2}
EVEX.256.66.0F3A.W0 42 /r ibVDBPSADBW ymm1 {k1}{z},,EVEX.256.66.0F3A.W0 42 /r ibVDBPSADBW ymm1 {k1}{z}
EVEX.256.66.0F3A.W0 43 /r ibVSHUFI32X4 ymm1{k1}{z},,EVEX.256.66.0F3A.W0 43 /r ibVSHUFI32X4 ymm1{k1}{z}
EVEX.256.66.0F3A.W0 50 /r ibVRANGEPS ymm1 {k1}{z},,EVEX.256.66.0F3A.W0 50 /r ibVRANGEPS ymm1 {k1}{z}
EVEX.256.66.0F3A.W0 54 /rVFIXUPIMMPS ymm1 {k1}{z},EVEX.256.66.0F3A.W0 54 /r,VFIXUPIMMPS ymm1 {k1}{z}
EVEX.256.66.0F3A.W0 56 /r ibVREDUCEPS ymm1 {k1}{z},,EVEX.256.66.0F3A.W0 56 /r ibVREDUCEPS ymm1 {k1}{z}
EVEX.256.66.0F3A.W0 66 /r ibVFPCLASSPS k2 {k1},,EVEX.256.66.0F3A.W0 66 /r ibVFPCLASSPS k2 {k1}
EVEX.256.66.0F3A.W0 71 /r /ibVPSHLDD ymm1{k1}{z},,EVEX.256.66.0F3A.W0 71 /r /ibVPSHLDD ymm1{k1}{z}
EVEX.256.66.0F3A.W0 73 /r /ibVPSHRDD ymm1{k1}{z},,EVEX.256.66.0F3A.W0 73 /r /ibVPSHRDD ymm1{k1}{z}
EVEX.256.66.0F3A.W0 imm8,,EVEX.256.66.0F3A.W0 imm8
EVEX.256.66.0F3A.W0 xmm3/m128,,EVEX.256.66.0F3A.W0 xmm3
EVEX.256.66.0F3A.W0 xmm3/m128,,EVEX.256.66.0F3A.W0 m128
EVEX.256.66.0F3A.W0 ymm2,,EVEX.256.66.0F3A.W0 ymm2
EVEX.256.66.0F3A.W0 ymm2/m256/m32bcst,,EVEX.256.66.0F3A.W0 ymm2/m32bcst
EVEX.256.66.0F3A.W0 ymm2/m256/m32bcst,,EVEX.256.66.0F3A.W0 m256/m32bcst
EVEX.256.66.0F3A.W0 ymm3/m256,,EVEX.256.66.0F3A.W0 ymm3
EVEX.256.66.0F3A.W0 ymm3/m256,,EVEX.256.66.0F3A.W0 m256
EVEX.256.66.0F3A.W0 ymm3/m256/m32bcst,,EVEX.256.66.0F3A.W0 ymm3/m32bcst
EVEX.256.66.0F3A.W0 ymm3/m256/m32bcst,,EVEX.256.66.0F3A.W0 m256/m32bcst
EVEX.256.66.0F3A.W1 00 /r ibVPERMQ ymm1 {k1}{z},,EVEX.256.66.0F3A.W1 00 /r ibVPERMQ ymm1 {k1}{z}
EVEX.256.66.0F3A.W1 01 /r ibVPERMPD ymm1 {k1}{z},,EVEX.256.66.0F3A.W1 01 /r ibVPERMPD ymm1 {k1}{z}
EVEX.256.66.0F3A.W1 03 /r ibVALIGNQ ymm1 {k1}{z},,EVEX.256.66.0F3A.W1 03 /r ibVALIGNQ ymm1 {k1}{z}
EVEX.256.66.0F3A.W1 05 /r ibVPERMILPD ymm1 {k1}{z},,EVEX.256.66.0F3A.W1 05 /r ibVPERMILPD ymm1 {k1}{z}
EVEX.256.66.0F3A.W1 09 /r ibVRNDSCALEPD ymm1 {k1}{z},,EVEX.256.66.0F3A.W1 09 /r ibVRNDSCALEPD ymm1 {k1}{z}
EVEX.256.66.0F3A.W1 18 /r ibVINSERTF64X2 ymm1 {k1}{z},,EVEX.256.66.0F3A.W1 18 /r ibVINSERTF64X2 ymm1 {k1}{z}
EVEX.256.66.0F3A.W1 19 /r ibVEXTRACTF64X2 xmm1/m128 {k1}{z},,EVEX.256.66.0F3A.W1 19 /r ibVEXTRACTF64X2 xmm1 {k1}{z}
EVEX.256.66.0F3A.W1 19 /r ibVEXTRACTF64X2 xmm1/m128 {k1}{z},,EVEX.256.66.0F3A.W1 19 /r ibVEXTRACTF64X2 m128 {k1}{z}
EVEX.256.66.0F3A.W1 1E /r ibVPCMPUQ k1 {k2},,EVEX.256.66.0F3A.W1 1E /r ibVPCMPUQ k1 {k2}
EVEX.256.66.0F3A.W1 1F /r ibVPCMPQ k1 {k2},,EVEX.256.66.0F3A.W1 1F /r ibVPCMPQ k1 {k2}
EVEX.256.66.0F3A.W1 23 /r ibVSHUFF64X2 ymm1{k1}{z},,EVEX.256.66.0F3A.W1 23 /r ibVSHUFF64X2 ymm1{k1}{z}
EVEX.256.66.0F3A.W1 25 /r ibVPTERNLOGQ ymm1 {k1}{z},,EVEX.256.66.0F3A.W1 25 /r ibVPTERNLOGQ ymm1 {k1}{z}
EVEX.256.66.0F3A.W1 26 /r ibVGETMANTPD ymm1 {k1}{z},,EVEX.256.66.0F3A.W1 26 /r ibVGETMANTPD ymm1 {k1}{z}
EVEX.256.66.0F3A.W1 38 /r ibVINSERTI64X2 ymm1 {k1}{z},,EVEX.256.66.0F3A.W1 38 /r ibVINSERTI64X2 ymm1 {k1}{z}
EVEX.256.66.0F3A.W1 39 /r ibVEXTRACTI64X2 xmm1/m128 {k1}{z},,EVEX.256.66.0F3A.W1 39 /r ibVEXTRACTI64X2 xmm1 {k1}{z}
EVEX.256.66.0F3A.W1 39 /r ibVEXTRACTI64X2 xmm1/m128 {k1}{z},,EVEX.256.66.0F3A.W1 39 /r ibVEXTRACTI64X2 m128 {k1}{z}
EVEX.256.66.0F3A.W1 3E /r ibVPCMPUW k1 {k2},,EVEX.256.66.0F3A.W1 3E /r ibVPCMPUW k1 {k2}
EVEX.256.66.0F3A.W1 3F /r ibVPCMPW k1 {k2},,EVEX.256.66.0F3A.W1 3F /r ibVPCMPW k1 {k2}
EVEX.256.66.0F3A.W1 43 /r ibVSHUFI64X2 ymm1{k1}{z},,EVEX.256.66.0F3A.W1 43 /r ibVSHUFI64X2 ymm1{k1}{z}
EVEX.256.66.0F3A.W1 50 /r ibVRANGEPD ymm1 {k1}{z},,EVEX.256.66.0F3A.W1 50 /r ibVRANGEPD ymm1 {k1}{z}
EVEX.256.66.0F3A.W1 54 /r ibVFIXUPIMMPD ymm1 {k1}{z},,EVEX.256.66.0F3A.W1 54 /r ibVFIXUPIMMPD ymm1 {k1}{z}
EVEX.256.66.0F3A.W1 56 /r ibVREDUCEPD ymm1 {k1}{z},,EVEX.256.66.0F3A.W1 56 /r ibVREDUCEPD ymm1 {k1}{z}
EVEX.256.66.0F3A.W1 66 /r ibVFPCLASSPD k2 {k1},,EVEX.256.66.0F3A.W1 66 /r ibVFPCLASSPD k2 {k1}
EVEX.256.66.0F3A.W1 70 /r /ibVPSHLDW ymm1{k1}{z},,EVEX.256.66.0F3A.W1 70 /r /ibVPSHLDW ymm1{k1}{z}
EVEX.256.66.0F3A.W1 71 /r /ibVPSHLDQ ymm1{k1}{z},,EVEX.256.66.0F3A.W1 71 /r /ibVPSHLDQ ymm1{k1}{z}
EVEX.256.66.0F3A.W1 72 /r /ibVPSHRDW ymm1{k1}{z},,EVEX.256.66.0F3A.W1 72 /r /ibVPSHRDW ymm1{k1}{z}
EVEX.256.66.0F3A.W1 73 /r /ibVPSHRDQ ymm1{k1}{z},,EVEX.256.66.0F3A.W1 73 /r /ibVPSHRDQ ymm1{k1}{z}
EVEX.256.66.0F3A.W1 CE /r /ibVGF2P8AFFINEQB ymm1{k1}{z},,EVEX.256.66.0F3A.W1 CE /r /ibVGF2P8AFFINEQB ymm1{k1}{z}
EVEX.256.66.0F3A.W1 CF /r /ibVGF2P8AFFINEINVQB ymm1{k1}{z},,EVEX.256.66.0F3A.W1 CF /r /ibVGF2P8AFFINEINVQB ymm1{k1}{z}
EVEX.256.66.0F3A.W1 imm8,,EVEX.256.66.0F3A.W1 imm8
EVEX.256.66.0F3A.W1 xmm3/m128,,EVEX.256.66.0F3A.W1 xmm3
EVEX.256.66.0F3A.W1 xmm3/m128,,EVEX.256.66.0F3A.W1 m128
EVEX.256.66.0F3A.W1 ymm2,,EVEX.256.66.0F3A.W1 ymm2
EVEX.256.66.0F3A.W1 ymm2/m256/m64bcst,,EVEX.256.66.0F3A.W1 ymm2/m64bcst
EVEX.256.66.0F3A.W1 ymm2/m256/m64bcst,,EVEX.256.66.0F3A.W1 m256/m64bcst
EVEX.256.66.0F3A.W1 ymm3/m256,,EVEX.256.66.0F3A.W1 ymm3
EVEX.256.66.0F3A.W1 ymm3/m256,,EVEX.256.66.0F3A.W1 m256
EVEX.256.66.0F3A.W1 ymm3/m256/m64bcst,,EVEX.256.66.0F3A.W1 ymm3/m64bcst
EVEX.256.66.0F3A.W1 ymm3/m256/m64bcst,,EVEX.256.66.0F3A.W1 m256/m64bcst
EVEX.256.66.0F3A.WIG 0F /r ibVPALIGNR ymm1 {k1}{z},,EVEX.256.66.0F3A.WIG 0F /r ibVPALIGNR ymm1 {k1}{z}
EVEX.256.66.0F3A.WIG 44 /r /ibVPCLMULQDQ ymm1,,EVEX.256.66.0F3A.WIG 44 /r /ibVPCLMULQDQ ymm1
EVEX.256.66.0F3A.WIG imm8,,EVEX.256.66.0F3A.WIG imm8
EVEX.256.66.0F3A.WIG ymm2,,EVEX.256.66.0F3A.WIG ymm2
EVEX.256.66.0F3A.WIG ymm3/m256,,EVEX.256.66.0F3A.WIG ymm3
EVEX.256.66.0F3A.WIG ymm3/m256,,EVEX.256.66.0F3A.WIG m256
